constant_name,definition
"After hrs calls","Llamadas fuera de hora"
Afternoon,Vespertino
Age,Edad
"Age at First Abortion","Edad al primer aborto"
"Age at First Pregnancy","Edad al primer embarazo"
"Age By:","Edad por:"
"Age Category","Categoría de edad"
"Age From","Edad desde"
"Age From:","Edad desde:"
"Age of Menarche","Edad a la menarquia"
"Aging Columns:",Antiguedad
Alcohol,Alcohol
"Alcohol Abuse and Alcoholism","Abuso del alcohol y alcoholismo"
All,Todos
"All Clients / All Facilities","Todos los clientes / Todas las clínicas"
"All Clinics - Detail","Todas las clínicas - Detalle"
"All Clinics - Summary","Todas las clínicas - Resumen"
"All Day","Todo el día"
"All day event","Dia completo"
"All Facilities","Todas las clínicas"
"All providers","Todos los proveedores"
"All Reviewed and Negative:",Rev/Negat
"All Types","Todos los tipos"
"All users",Todos
Allergies,Alergias
Allergies,Alergias
Allergy,Alergia
"Allergy to Prostaglandins/Mifepristone","Alergia a prostaglandinas/mifepristona"
Allow,Permitir
"Allow Email","Permitir eMail"
"Allow email messages?","¿Autoriza el envío de emails?"
"Allow Email?","¿Autoriza el envío de emails?"
"Allow Mail Message","Permitir correo regular"
"Allow SMS","Permitir mensajes SMS"
"Allow SMS (text messages)?","¿Autoriza mensajes de texto SMS?"
"Allow telephone messages?","¿Autoriza mensajes telefónicos?"
"Allow Voice Message","Permitir mensajes de voz"
alter,modificar
alter_table,modificar_tabla
Amount,Monto
"Amount Paid","Monto pagado"
"Analgesic Provided","Analgésico provisto"
analgesics,analgésicos
and,y
"And :",y
"and all subordinate data? This action will be logged!","y todos los datos subordinados? ¡Esta acción quedará registrada!"
And:,y
Anemia,Anemia
"Anesthesia Complications","Complicaciones de anestesia"
Anorexia,Anorexia
ante,ante
antibiotics,Antibióticos
"Antiseptic Provided","Antiséptico provisto"
Anxiety,Ansiedad
Any,Cualquiera
"Any category","Todas las categorías"
Apnea:,Apnea
Appearance,Apariencia
Appearance:,Apariencia
"Appointment Date","Fecha de Cita"
"Appointment statuses","Estado de las citas"
"Appointment within","Rango de fecha de cita"
"Appointment within:","Rango de fecha de cita:"
Appointments,Citas
"Appointments and Encounters","Citas y Visitas"
"Appointments and Visits","Citas y Visitas"
"Appointments Report","Reporte de Citas"
Appt-Enc,"Citas y Visitas"
April,Abril
Arrythmia:,Arritmia
Arthritis:,Artritis
"Artificial Insemination","Insem artif"
"As Of","A partir de"
Asian,Asiático
Assessment:,Evaluación
"Associated Clinics","Clínicas asociadas"
"Associated Induced Procedure","Procedimiento asociado"
Asthma,Asma
Asthma:,Asma
at,en
atenolol,atenolol
Atherosclerosis,Aterosclerosis
August,Agosto
Authorizations,Autorizaciones
authorize,Autorizado
Authorized?,Autorizado?
"Average No. of Days","Promedio de días"
"Avg Monthly","Promedio mensual"
Axilar,Axila
Axillary,Axila
b.i.d.,b.i.d.
Back,Regresar
"Back one visit","Regresar una visita"
Backup,Respaldos
"Bacterial Vaginosis","Vaginosis bacteriana"
"Bahasa Indonesia","Bahasa Indonesia"
Bal,Saldo
"Balance Due","Saldo pendiente"
"Balance Due:","Saldo pendiente"
Balanitis,Balanitis
Barrier/IUD,Barrera/DIU
"Basal Temperature","Temp. Basal"
BASIC,Básico
"Basic Data","Datos básicos"
"Basic Information","Información básica"
"basic normal 01","Normal básico 01"
"Basic RH (female and male)","SR Básica (mujer y hombre)"
"Basic RH (female only)","SR Básica (sólo mujer)"
"Batch Communication Tool","Herramienta de Comunicaciones"
"Batch Results","Resultados por lote"
BatchCom,Notificaciones
Begin,Inicio
"Begin Date","Begin Date"
between,entre
"Between 1 and 3 months ago","Entre 1 y 3 meses"
"Biliary System","Sistema biliar"
Billed,Facturado
Billing,Facturacion
"Billing Information","Información de facturación"
"Billing Location","Emite Facturas"
"Billing Note","Nota de facturación"
Biopsy:,Biopsia
Black,Negro
"Blank Forms","Formas en blanco"
"Bleeding During Pregnancy","Sangramiento durante emb"
"Bleeding Problems:","Problemas de sangramiento"
"Bleeding/spotting since last period?","¿Sangrado/manchado desde FUM?"
"Blood Group","Grupo sanguíneo"
"Blood pressure ","Presión arterial"
BMI,IMC
"BMI Status","Estado del IMC"
Bot,Inferior
"Both Ears","Ambos oidos"
Bottom,Inf
"BP Diastolic","Presión Arterial /Diastólica"
"BP Systolic","Presión Arterial/Sistólica"
Breast,Mamas
"Breast Cancer within the Past 5 Years","Cáncer de mama en los pasados 5 años"
"Breast Disease","Enfermedad de mamas"
"Breast Exam","Examen de mamas"
"Breast Mass","Masa en las mamas"
Breast-feeding,Amamantamiento
By,Por
Calendar,Agenda/Calendario
"Calendar UI:",Agenda/Calendario
Calendar:,Agenda/Calendario
Cancel,Cancelar
Cancer,Cáncer
"Cardiac Arrest","Arresto cardíaco"
"Cardiac Echo","Ecografia cardiaca"
cardiology,Cardiología
Cardiovascular,Cardiovascular
Cash,Efectivo
"Cash Rec","Ingresos efectivo"
"Cash Receipts","Ingresos efectivo"
"Cash Receipts by Provider","Ingresos efectivo por Proveedor(a)"
Cast:,Casta
Categories,Categorías
Categories,Categorías
Category,Categoría
"Category Limits","Límites de Categoría"
Category:,Categoría
Caucasian,Caucásico
"Causes of Infertility","Causas de infertilidad"
"Causes of Infertility/Subfertility","Causas de infertilidad/subfertilidad"
"CBD / CBS","DBC / SBC"
"CD4 count","Conteo CD4"
"Cell Phone Number","Teléfono celular"
"Cerv patology","Patologia Cervical"
"Cervical Cap","Tapón cervical"
"Cervical cytology ","Citol. Cervical"
Changed,Cambiado
"Charge amount","Monto a pagar"
Charges,Cargos
Chart,Expediente
"Chart Activity","Ubicación del Expediente - Movimientos"
"Chart location","Ubicación del Expediente"
"Chart Location Activity","Ubicación del Expediente - Movimientos"
"Chart Storage Locations","Ubicación de Expedientes Almacenados"
"Chart Tracker","Buscador de Expedientes"
"Charts Checked Out","Expedientes chequeados"
"Charts Out","Expedientes chequeados"
Check,Cheque
"Check All","Marcar todas"
"Check/Reference Number","Número de cheque/ref"
Checkout,"Final de visita"
CHEST,Pecho
"Chest Pain","Dolor de pecho"
Chg,Cargo
"Chief Complaint","Motivo de la visita"
"Chief Compliant","Motivo de la visita"
Choices,Opciones
City,Ciudad
"City 1","Ciudad 1"
"City 2","Ciudad 2"
"City 3","Ciudad 3"
"City 4","Ciudad 4"
"City 5","Ciudad 5"
"City 6","Ciudad 6"
"City Name","Nombre de la ciudad"
"City, State Zip","Ciudad, Estado, Código Postal"
City:,Ciudad
"Civil Status","Estado civil"
Clear,Limpliar
"Clear All","Borrar todo"
"Clear Smarty Cache","Limpiar caché"
"CLIA Number","#SDP en SGIe"
"click here to update priority, category and nickname settings","seleccione aquí para actualizar parámetros de prioridad, categoría y sobrenombre"
"Click to select","Seleccione para buscar"
Click:,Presionar
Client,Cliente
"Client Aware of Emergency Procedures","Cliente conoce proced emergencia"
"Client Copy","Copia para la/el cliente"
"Client has  been victim of stigma/discrimination","Cliente ha sido víctima estigma/discr"
"Client has been HIV tested","Cliente se  ha hecho la prueba de VIH"
"Client has been ITS tested","Cliente se ha hecho prueba de ITS"
"Client has been victim of stigma/discrimination","Cliente ha sido víctima estigma/discr"
"Client has developed AIDS","Cliente ha desarrollado SIDA"
"Client has developed an oportunistic infection","Cliente ha desarrollado una infección oportunista"
"Client has developed an opportunistic infection","Cliente ha desarrollado enf oportunista"
"Client has received HIV Test Counselling","Cliente ha recibido Consejería prueba VIH"
"Client has received HIV/AIDS treatment","Cliente ha recibido tratamiento VIH/SIDA"
"Client has received ITS Counselling","Cliente ha recibido consejería de ITS"
"Client has received ITS treatment","Cliente ha recibido tratamiento ITS"
"Client has received psycho-social support","Cliente ha recibido apoyo psicosocial"
"Client has tested HIV positive","Cliente ha resultado VIH-Positivo"
"Client has tested ITS positive","Cliente ha resultado ITS-Positivo"
"Client has undergone genital surgery","Cliente ha recibido cirugía genital"
"Client has undergone genital treatment","Cliente ha recibido tratamiento genital"
"Client ID","Identificación cliente"
"Client ID:","Identificación cliente"
"Client is informed about HIV transmission","Cliente informado sobre transmisión VIH"
"Client is informed about ITS transmission","Cliente informado sobre transmisión ITS"
"Client medical history summary","Resumen de historia médica del cliente"
"Client Notes","Notas en Expediente del Cliente"
"Client Notes (Back)","Notas en Expediente cliente (regresar)"
"Client Notes (Just Mine)","Notas en expediente client (Solo las mías)"
"Client Notes (See All)","Notas en expediente client (Ver todas)"
"Client Report","Reporte de clientes"
"Client reports genital infection","Cliente reporta infección genital"
"Client reports genital pain","Cliente reporta dolor genital"
"Client reports incontinency concerns","Cliente reporta problema incontinencia"
"Client reports urinary concerns","Cliente reporta problema urinario"
"Client Status","Estado del Cliente"
Clients,Clientes
"Clients who had a visit","Clientes que tuvieron una visita"
"Clients with first visit at","Clientes con primera visita en"
"Clients with last visit at","Clientes con última visita en"
"Clinic consultation","Consulta Clínica"
"Clinic Copy","Copia de la clínica"
"Clinic Daily Record","Registro diario"
"Clinic History #","Historia Clínica #"
"Clinic ID","No. de registro de clinica"
"Clinic ID:","No. de registro de clinica"
Clinical,Clínica
Clinics,Clínicas
CO-PAY,Co-Pago
"COC & POC","AOC y PPS"
Code,Código
Code:,Código
Coding,Código
Coffee,Café
"collapse all","colapsar todo"
Collections,"Ingresos y Ajustes"
Color:,Color
Columns,Columnas
Columns:,Columnas:
"Combined Injectable Contraceptives (1 month)","Inyectables combinados (1 mes)"
"Combining Lots","Combinar lotes"
"Comes from",Procedencia
Comments,Comentarios
"Commercial Marketing","Mercadeo comercial"
Communications,Comunicaciones
Complications,Complicaciones
Compute,Calcular
"Condom (Male or Female)","Condón(Fem o Masc)"
Configuration,Configuración
"Confirm Create New Patient","Confirmar creación nuevo cliente"
"Consultation Brief Description","Razón de la visita"
Contact,Contacto
"Contact Email","Dirección electrónica"
"Contact Email Address","Dirección correo de contacto"
"Contact Lenses","Lentes de contacto"
Content,Contenido
Contraception,Anticoncepción
"Contraception for","Anticoncepción para"
"Contraceptive Complication (specify)","Complicaciones por uso de método"
"Contraceptive Counseling Provided","Se proveyó consejería anticonceptiva"
"Contraceptive Items Provided","Productos anticonceptivos provistos"
"Contraceptive Last Menstrual Period","Última menstruación anticonceptiva"
"Contraceptive Menstrual History","Historia menstrual anticonceptiva"
"Contraceptive Method","Método anticonceptivo"
"Contraceptive Method in use","Método anticonceptivo en uso"
"Contraceptive Methods","Métodos anticonceptivos"
"Contraceptive Products","Productos anticonceptivos"
"Contraceptives Start","Fecha inicio uso de método anticonceptivo"
COPAY,Co-Pago
Copays,Co-pagos
"Copper releasing IUD (10 years)","DIU liberador de cobre (10 años)"
Counseling,Consejería
Counseling,Consejería
"Counseling services","Servicios de Consejería"
"COUNTER REFERRAL FORM","FORMA DE CONTRAREFERENCIA"
Counter-Referral,Contra-referencia
Country,País
Country:,País
"Create and download a full backup","Crear y guardar respaldo"
"Create Backup","Respaldar datos"
"Create New Patient","Nuevo registro de cliente"
Created,Creado
Current,Actual
"Current Method","Método actual"
"Currently Active",Activo
"Cycle Length (days)","Duración del período(en días)"
CYP,APP
"CYP Factor","Factor de APP"
"CYP Factor:","Factor de APP"
"CYP Report","Reporte de APPs"
"Daily Record","Registro diario"
"Data Cols","Col Datos"
"Data Type","Tipo Dato"
Database,"Adm Base de Datos"
Date,Fecha
"Date Administered","Fecha de administración"
"Date Destroyed","Fecha de destrucción"
"Date Last Pregnancy Ended","Fecha de parto"
"Date of Birth","Fecha Nacimiento"
"Date of Last Pap Smear","Fecha de última citología/Papanicolau"
"Date of Next Pap Smear ","Fecha de próxima citología /Papanicolau"
"Date of Service:","Fecha de servicio"
"Date Ordered","Fecha de orden"
Date/Appt,Fecha/Cita
Date/Notes,Fecha/Notas
Date:,Fecha
day,Dia
"Day View",Días
days,Días
"Days per Column:","Días por columna"
deactivate,Desactivado
December,Diciembre
Default,Predeterminado
"Default Facility:","Ubicación predeterm"
"Default Method","Método predeterm"
"Default provider is required","Debe definir un proveedor predeterminado"
"Default Value","Valor predeterm"
"Default Warehouse:","Bodega predeterm"
del,borrar
Delete,Borrar
"Delete Group","Borrar Grupo"
"Delete List","Borrar Lista"
Dementia,Demencia
Demographics,Demográficos
"Demographics (All Values)","Demográficos (Todos)"
Depression,Depresión
Depression:,Depresión
Description,Descripción
Description:,Descripción
Destination,Destino
Destroy,Destruir
Destroy...,Destruir
Destroyed,Ajustes(Daño/Exp)
"Destroyed Drugs","Productos destruidos"
Details,Detalle
Diabetes,Diabetes
Diabetes,Diabetes
"Diabetes Mellitus w/Vascular Complications","Diabetes Mellitus con complicaciones vasculares"
Diag,Diagnosticos
Diagnosis,Diagnósticos
"Diagnosis Code","Código de diagnóstico"
Diagnosis:,Diagnósticos
Diagnostic,Diagnosticos
"Diagnostic Imaging ","Imagen Diagnóstica"
"Diagnostic Labs & Orders","Laboratorio y Diagnósticos"
"Diagnostic Tests:","Exam de Diagn"
Diaphragm,Diafragma
Diarrhea:,Diarrea
Dictation:,Dictado
Difference,Diferencia
Diffuse:,Difuso
Discarded,"Dado de alta"
Discharge,Secreción
Discharge:,Secreción
Discount,Descuento
"Discount Amount","Monto descuento"
"Discount Amount:","Monto descuento"
Discount/Adjustment,Descuento/Ajuste
Disease:,Enfermedad
Dispensed,Entregado
Distribution,Distribución
Distributor,Distribuidor
Divorced,Divorciado(a)
Dizziness:,Mareos
"Do Not Resuscitate Order","Orden de no resucitación"
"do not substitute","no sustituir"
"Do you really want to delete","¿Realmente desea borrar la"
DOB,Fec.Nac
DOB:,Fec.Nac
"Doctor´s name and signature","Nombre y firma del médico"
Document,Documento
"Document Caetgories","Categorías de documentos"
"Document Categories","Categorías de documentos"
Documents,Documentos
Documents:,Documentos
"Domestic Partner","Pareja de hecho"
"Don't Save","No guardar"
DOS,Del
DOS:,Del
Dosage,Dosis
"Dossier médical","Expediente médico"
"Double Vision","Doble visión"
"Download configuration data","Descargar datos de configuración"
Drug,Medicamento
"Drug Finder","Localizador de medicamentos"
"Drug Forms","Formas de medicamentos"
"Drug Intervals","Intervalo entre medicamentos"
"Drug Lookup","Buscar Medicamento"
"Drug Name","Nombre Producto"
"Drug Units","Unidades de medicamento"
Drug:,Medicamento
duration,Duración
"Duration of Absence (days)","Días ausencia"
Duration:,Duración
Dutch,Holandés
Dysmenorrhea,Dismenorrea
ECG,ECG
"Economic (cost)","Económica  (costo)"
Ectopic,Ectópico
"Ectopic Pregnancy","Embarazo Ectópico"
Edit,Editar
"Edit Categories","Editar Categ"
"Edit definitions","Editar definiciones"
"Edit definitions:","Editar clínicas"
"Edit Facilities:","Editar Ubicaciones"
"Edit Facility Information","Editar Clínica / Centro de Costo"
"Edit Global Settings","Editar Parámetros Globales"
"Edit layout:","Editar Diseño"
"Edit list:","Editar Lista"
Education,Educación
"Education Date","Nivel educativo"
Ejaculations:,Eyaculaciones
"Email Sender","Remitente (email)"
"Email Sender :","Remitente (email)"
"Email Subject","Asunto (email)"
"Email Subject:","Asunto (email)"
Emergency,Emergencia
"Emergency Contact","Contacto emergencia"
"Emergency Contact Person","Persona contacto de emergencia"
"Emergency Contact Phone Number","Teléfono de emergencia"
"Emergency Contraception","Anticonc Emergencia"
"Emergency Phone","Teléfono emergencia"
"Emergency Written Instructions Provided","Instrucciones de emergencia provistas por escrito"
Employer,Empleador
"Employer Address","Dirección Empleador"
"Employer Name","Nombre Empleador"
Empty,Vacía
Enc,Visita
Encounter,Visita
"Encounter forms","Formas para visita"
"Encounter Forms to Include in this Report:","Formas para visitas a incluir en este reporte"
Encounters,Visitas
"Encounters & Forms:","Visitas y Formas"
"Encounters Report","Reporte de visitas"
End,Fin
"End date","Fecha final"
"End Space","Espacio Endocrino"
"End Time","Hora final"
Endocrine,Endocrino
"Endocrine Glands","Glándula endocrina"
endocrinology,Endocrinología
English,Inglés
"Entitlement status",Activos
"EOB Posting - Instructions","Instrucciones de cierre de facturacion"
Epilepsy,Epilepsia
Epilepsy:,Epilepsia:
Error,Error
Errors,Errores
"Ethnicity or Race","Origen étnico o Raza"
Evening,Nocturno
Event,Evento
"Event does not repeat","Evento sin repetic"
"Event repeats every","Evento se repite cada"
"Event repeats on:","Evento se repite en"
every,Cada
Exact,Exacto
exam,Examen
Exams/Tests,Exámenes/Pruebas
Exams/Tests:,Exámenes/Pruebas
"Excessive Bleeding/Hemorrhage","Sangram excesivo/hemorragia"
"Exercise Patterns","Patrones de ejercicio"
"Expected Date","Fecha esperada"
"Expected Reply Date","Fecha esperada de respuesta"
Expiration,Expiración
"Expiration Date","Fecha de expiración"
Expires,"Fecha Expiración"
Export,Exportar
"Export Configuration","Exportar configuración"
"Export File","Exportar archivo"
"Export Selected as CSV","Exportar a formato CSV"
"Export Selected to Collections","Exportar seleccion"
"Export to CSV","Exportar a formato CSV"
"External identifier","Identificador externo"
"External Only","Externo solamente"
Facilities,"Clínicas/Centros Costo"
Facility,Ubicación
"Facility Administration","Admon de Clínicas/Centros de Costo"
"Facility Code","Código Clínica/C Costo"
"Facility Code:","Código Clínica/C Costo:"
Facility:,"Clínica/C Costo:"
"Family and GBV","Familia y VBG"
"Family History of Glaucoma:","Historia familiar de glaucoma"
"Family History:","Historia familiar"
"Family Size","Tamaño de la Familia"
"Family Violence","Violencia familiar"
Father,Padre
Fatigue:,Cansancio
Fax/Scan,Fax/Escanear
Fax:,Fax
"Faxes In","Entrada de faxes"
"Faxes Out","Salida de faxies"
Features,Diseño
February,Febrero
"Federal Drug ID:","Cód Producto"
"Federal EIN:","Cód Proveedor:"
"Federal Tax ID:","Cód impuesto fed"
"Fee Sheet","Hoja de Cargos por Serv & Prod"
Fees,"Hoja de cargos/ Fin de visita"
Fees:,Facturación
Female,Mujer
"Female AP","Femenino AP"
"Female Condom","Condón femenino"
"Female Endometriosis","Endometriósis Fem"
"Female G","Femenino G"
"Female is incapable of carrying a pregnancy to term","Mujer incapaz de llevar embarazo a término"
"Female LC","Femenino LC"
"Female VSC - Laparoscopy","AQV Femenina - Laparoscopia"
"Female VSC - Laparotomy","AQV Femenina - Laparotomía"
"Female VSC - Minilaparatomy","AQV Femenina - Minilaparotomía"
Fertility,Fertilidad
"Fertility Awareness Based","Métodos Basados en fertilidad"
"Fertility Basic History","Historia de Fertilidad"
"Fertility Tests","Exam. Fertilidad"
"Fetal Monitoring","Monitoreo fetal"
Fever:,Fiebre
Fibroids,Fibroides
Filename,"Nombre archivo"
"Fill here only if sending email notification to patients","Llene aquí solamente si envía notificación por correo a clientes"
Filter,Filtro
"Filter for Constants","Filtro para constantes"
"Filter for Constants:","Filtro p/constantes"
Filters,Filtros
Filters:,Filtros
"Final Diagnosis","Diagnóstico final"
Financial,Financieros
"Financial Info","Información Financiera"
"Financial Review Date","Fecha revisión"
"Financial Review Date:","Fecha revisión"
Financier,Financiero
Find,Localizar
"Find available","Localizar disponible"
"Find Patient","Localizar Paciente"
Findings,Hallazgos
"First contraceptive at this clinic?","¿Primer anticonceptivo en esta institución?"
"First Name","Primer nombre"
"First Name:","Primer nombre"
Flatulence:,Flatulencia
"Flow Bleeding (L/M/H)","Flujo (L/M/I)"
"Flow Length (days)","Flujo (días)"
"Flow Types","Tipos de flujo"
Flow:,Flujo
"Flu Vaccination","Vacuna influenza"
"Foam & Condom","Espuma y Condones"
"follow up prn.",seguimiento
Followup,Ulterior
"Followup Appointment Recorded","Seguimiento a Cita Registrada"
"Followup procedure from other site","Seguimiento a procedimiento de otro sitio"
"Followup procedure from partner site","Seguimiento a procedimiento sitio asociado"
"Followup procedure from this site","Seguimiento a procedimiento de este sitio"
"Food Intolerance","Intolerancia a alimentos"
for,Para
"for Invoice","para la Factura"
"For Referred Organization/Practitioner","Para Organización/Médico que refirió"
"For the past","Para los anteriores"
Form,Forma
Forms,Formas
"Forms Administration","Administracion de formas"
French,Francés
Frequency:,Frecuencia
Friday,Viernes
friend,Amigo(a)
From,De
From:,De
"Front Office Receipts","Pagos recibidos por cajera"
"Front Rec","Pagos recibidos"
"Gall Bladder Condition","Condición de vesícula biliar"
"Gastrointestinal Tract","Tracto Gastrointestinal"
"GCAC Statistics Report","Estadísticas GCAC"
"GCAC Stats","Estadísticas GCAC"
Gender,Género
"Gender :",Género
"Gender-Based Violence","Violencia basada en género"
General,General
"General Service Category","Categorías Generales de Servicios"
"General Tax","Impuesto general"
"Generate Report","Producir reporte"
"Generate XML","Producir archivo exportación"
German,Alemán
Globals,"Parámetros globales"
Go,Proceder
Government,Gobierno
grams,gramos
Group,Grupo
"Gynecological Exam","Examen Gineco"
"Gynecological services",Ginecología
"Gynecological Tests","Exámenes Gin"
Gynecology,Ginecología
h,h
h.s.,h.s.
Handicap,Discapacidad
Having,"Que realizaron"
"Hazardous Activities","Actividades peligrosas"
"Head Circumference","Circunferencia craneal"
Headache:,"Dolor de cabeza"
"Health centre/clinic","Centro de salud/Clínica"
"health checkup","Chequeo de salud"
"Heart Disease","Enfermedad cardiaca"
"Heart Problem:","Problemas del corazón"
"Heart Problems","Problemas del corazón"
HEART:,Corazón
Hebrew,Hebreo
Height,Estatura
Hemoglobin,Hemoglobina
Hepatitis,Hepatitis
"Hide Details","Ocultar detalles"
High,Alta
"High Blood Pressure","Presión alta"
"High Blood Pressure:","Presion alta"
Hispanic,Hispano
History,"Historia Médica Familiar"
"History Data","Historia Médica"
"History of Heart Murmur","Historia de Soplo Cardiaco"
Hits,Concidencias
"HIV testing","Test VIH"
HIV/AIDS,VIH/SIDA
"HIV/AIDS during Pregnancy","VIH/SIDA en embarazon"
"HIV/AIDS Tests","Test VIH/SIDA"
HIV:,VIH
Home,Inicio
"Home Phone","Tel. casa"
"Home Phone Number","Teléfono particular"
"Home Phone:","Tel. casa"
"Homeless or similar?","¿Sin techo o similar?"
"Homeless, etc.","Sin hogar, etc."
"Hormonal analysis","Análisis hormonal"
"Hormonal Patch","Parche hormonal"
"Hormone releasing IUD (5 years)","DIU Liberador de hormonas (5 años)"
Hours,Horas
"How did they hear about us","Cómo supo de nosotros"
"How Many More Children Wanted","¿Cuántos más hijos desea?"
Hypertension,Hipertensión
"Hypertension with Vascular Disease","Hipertensión con enfermedad cardiovascular"
ID,"DNI/No. Identificación"
"ID (?)",Identificación
"ID Type","Tipo de ID"
Immunizations,Inmunizaciones
Immunize,Inmunizaciones
Implant,Implante
"Import Configuration","Importar configuración"
in,plg
in-house,"en inventario"
Inactive,Inactivo
"Inactive Days","Días inactivo"
"Inbound External Referrals","Referencias externas - Recibir"
"Inbound Internal Referrals","Referencias internas - Recibir"
"Inbound Referral","Referencias hacia la clínica"
"Include Completed","Incluir completos"
"Include inactive users","Incluir usuarios inactivos"
"Include Uncategorized","Incluir no categorizados"
"Include Vital Signs","Incluir signos vitales"
Incontinence,Incontinencia
increased:,Incremento
"Indicates if DOB is estimated","Indica si Fecha Nac es estimada"
Infection,Infección
Infertility,Infertilidad
"Infertility Treatment","Tratam. Infertilidad"
Info,Información
Injectable,Inyectable
Instructed,Instrucción
Insurance,Seguro
"Insurance Data","Datos sobre Seguros"
"Intermenstrual Bleeding","Sangrado intermenstrual"
"Internal Identifier (pid)","Identificador interno del sistema"
Interpreter,Intérprete
"Interpreter needed?","¿Necesita intérprete?"
Interval,Intervalo
Intervention,Intervención
Intolerance:,Intolerancia:
Inventaire,Inventario
Inventory,Inventario
"Inventory Activity","Movimientos de inventario"
"Inventory List",Existencias
"Inventory Transactions","Transacciones de inventario"
Invoice,Factura
"Invoice Reference Number","Número de referencia de facturación"
"IPPF HIV",IPPF-VIH
"IPPF SRH",IPPF-SSR
