constant_name,definition
"491.8, Bronchitis, Chronic","491.8, Bronquitis, Crónica"
"493.92, Asthma, Acute Exac.","493.92, Asma, Aguda"
"496.0, COPD","496.0 Enfermedad Pulmonar Obstructiva Crónica"
4th,4ta
"5 Days From Now","5 dias a partir de hoy"
"5 Months From Now","5 meses a partir de ahora"
"5 Weeks From Now","5 semanas a partir de ahora"
"519.7, Bronchospasm","519.7, Broncoespasmo"
5th,5ta
"6 Days From Now","6 dias a partir de ahora"
"6 Months From Now","6 meses a partir de ahora"
"6 Weeks From Now","6 semanas a partir de ahora"
"6 months","6 meses"
6th,6ta
"7 Months From Now","7 meses a partir de ahora"
"8 Months From Now","8 meses a partir de ahora"
"824.0 Fracture, medial malleolus, closed","824.0 Fractura, maléolo intermedio, cerrado "
"824.2 Fracture, lateral malleolus, closed","824.2 Fractura, maléolo lateral, cerrado "
"824.6 Fracture, Trimalleolar, closed","824,6 Fractura, Trimalleolar, cerrado"
"825.32 Fracture, of Navicular (ankle)","825.32 Fractura de navicular (tobillo)"
"825.35 Fracture, Base of fifth (5th) Metatarsal","825,35 Fractura, Base de la quinta (5 ª) metatarsianas"
"845.00 ankle sprain NOS","845,00 torcedura del tobillo NOS"
"845.01 Sprain Medial (Deltoid) Lig.","845,01 Esquince ligamento tibial (Deltoides). "
"845.02 Sprain, Calcaneal fibular","845,02 Torcedura, fibular Calcánea"
"9 Months From Now","9 meses a partir de ahora"
"99212 Established - Uncomplicated","Establecido 99212 - sin complicaciones "
"99213 Established - Low Complexity","Establecido 99213 - Baja Complejidad "
"< In exam room	","< En consulta"
"< In exam room","< en consultorio"
"> Checked out","> Ya pagó"
"? No show","? No se presentó"
"@ Arrived","@ Llegó"
A,"Un, Una"
"A GCAC visit form should be added to this visit.","Formulario de visita GCAC debe ser agregado a esta visita"
"A check number or claim number to identify the payment","Un número de cheque o reclamación para identificar el pago"
"A client certificate for the admin user","Un certificado del cliente para el usuario de admin"
"A distributor is required","Se requiere un distribuidor"
"A lot number is required","Un número de lote es requerido"
"A lot number is required!","Un número de lote es requerido!"
"A lowercase letter","Una letra minuscula"
"A number","Un numero"
"A patient with this ID already exists.","Un paciente con esta ID ya existe"
"A patient with this SS already exists.","Un paciente con este numero de Seguro Social ya existe"
"A patient with this name already exists.","Un paciente con este nombre ya existe"
"A referral source may be specified for each visit.","Una fuente de referencia puede ser especificada para cada visita"
"A related IPPF code is required!","Un código IPPF relacionado es requerido"
"A special character","Un caracter especial"
"A unique value to identify this field, not visible to the user","Un valor único para identificar este campo, no visible al usuario"
"A/F Level Right:","Nivel de A/F Correcto"
AB,AB
ABN1,ANRML1
"ABO and Rh blood groups","Abo y grupos sanguíneos Rh"
ACL,"Seguridad del sistema"
"ACL Administration","Administración del ACL"
"ACL Administration Not Authorized","Administración de ACL no autorizada"
ADD,AÑADIR
ADDRESSEE,DESTINATARIO
ALEUT,Aleutiano
ALL,TODOS
AM,AM
"AM Program","Programa en AM"
AMC,"Calculo Automatico de Medidas (CAM)"
"AMC Tracking","Rastreo CAM"
AMEX,AMEX
AND,Y
"API key for SMS Gateway.","API para la puerta de enlace SMS"
"ATNA audit CA certificate","Certificado CA de ATNA (Seguimiento de auditoría y autenticación del nodo)"
"ATNA audit host","Anfitrión de audito ATNA (Seguimiento de auditoría y autenticación del nodo)"
"ATNA audit local certificate","Certificado local de ATNA (Seguimiento de auditoría y autenticación del nodo)"
"ATNA audit port","Puerto de audito ATNA (Seguimiento de auditoría y autenticación del nodo)"
Abbreviation,Abreviatura
Abcess:,Abceso
Abdominal,Abdominal
"Able to Bear Weight four (4) steps:","Capaz de cargar peso cuatro pasos"
Abn,Anrml
Abnormal,Anormal
"Abnormal - Ectopic Pregnancy","Anormal - Embarazo ectópico"
"Abnormal - Molar Pregnancy","Anormal - Embarazo molar"
"Abnormal Blood Test","Análisis de sangre anormal"
"Abnormal Blood Test:","Ex de sangre anormal"
"Abnormal Hair Growth","Crecimiento anormal del pelo"
"Abnormal Hair Growth:","Crecimiento anormal del cabello"
"Abnormal Mammogram","Mamog anormal"
"Abnormal Menstrual Periods","Períodos menst anormal"
Abortion,Aborto
"Abortion Basic History","Historia clínica de Abortos"
"Abortion Issues","Problemas del Aborto"
"Abortion Method","Método de Aborto"
"Abortion Tests","Pruebas de aborto"
"Abortion-Related Categories","Categorías relacionadas al Aborto"
Abortion:,Aborto:
Abortions,Abortos
"About the calendar","Acerca del calendario"
"Absence of Menstruation","Ausencia de menstruación"
"Absences by Diagnosis","Ausencias por Diagnóstico"
Abuse,Abuso
"Accept Assignment","Aceptar la tarea"
"Accept Payment for","Aceptar pago por"
"Accept Payment for ","Aceptar Pago por "
"Acceptors New to Modern Contraception","Aceptantes nuevos de anticoncepción moderna"
"Accepts Assignment","Acepta Facturar"
"Access Control","Control de acceso"
"Access Control List Administration","Administración de la Lista de Control de Acceso"
"Access Control:","Privilegios/Accesos al sistema"
"Access Groups","Perfil de usuario"
"Access Your Patient Portal","Acceder al Portal del Paciente"
"Access not allowed","Acceso no permitido"
"Account Name","Nombre de la Cuenta"
Accounting,Contabilidad
"Accounting Transactions","Transacciones Contables"
"Accounting Transactions Export","Exportación transacciones contables"
"Acct Export","Exportar transacciones contables"
Aches,Dolores
"Acknowledgment Requested (ISA14)","Solicitud de reconocimiento (ISA14)"
"Acknowledgments, Licensing and Certification","Reconocimientos, Licencias y Certificaciones"
Acne,Acné
Acne:,Acné
Act,Acta
"Act Date",Fetcha
Action,Accion
Actions,Acciones
"Activate CCR/CCD Reporting","Activar Reportes CCR/CCD"
Active,Activa
"Active Alert","Alerta Activa"
"Active Alert Rules","Reglas de Alerta Activa"
"Active Alerts/Reminders","Alertas activas/recordatorios"
"Active Encounter","Visita activa"
"Active Patient","Cliente activo"
"Active Patient:","Client activo:"
"Active Plans","Planes Activos"
"Active Viral Hepatitis","Hepatitis viral activa"
"Active lists","Listas Activas"
Activity,"Saldos de Inventario"
"Activity Type","Tipo de Actividad"
"Acute bronchitis or pneumonia","Bronquitis o neumonía aguda"
"Acute on Chronic","Agudo en Crónico"
Add,Agregar
"Add Buttons","Agregar Botones"
"Add Buttons for Special Chars,Texts to be Displayed on Top of the Editor for inclusion to the text on a Click","Agregar botones para caracteres especiales, texto a mostrar encima del editor para incluir en el texto con un Click."
"Add Category","Añadir categoria"
"Add Constant","Agregar constante"
"Add Context","Añadir contexto"
"Add Copay","Agregar pago"
"Add Custom Button","Añadir Boton Deseado"
"Add Diagnosis","Añadir diagnóstico"
"Add Drug","Agregar productos"
"Add Encounter","Agregar visita"
"Add Facility","Añadir Centro"
"Add Field","Agregar campo"
"Add Group","Agregar grupo"
"Add ICD Code","Añadir código CIE"
"Add Immunization","Agregar vacunación"
"Add Issue","Agregar condición"
"Add Language","Agregar idioma"
"Add Language or Add Constant or Edit definitions:","Agregar idioma /constante /Editar definiciones:"
"Add Multiple","Agregar múltiples recetas"
"Add New","Añadir nuevo"
"Add New Group","Agregar grupo nuevo"
"Add New Note","Agregar nueva nota"
"Add New Partner","Añadir nuevo socio"
"Add Note","Añadir nota"
"Add Patient Record","Agregar nuevo reg cliente"
"Add Prescription","Agregar receta médica"
"Add Provider Number","Añadir numero del proveedor"
"Add Rehab","Añadir Rehabilitacion"
"Add Row","Añadir fila"
"Add Rule","Añadir Regla"
"Add Top Level","Agregar al inicio"
"Add Transaction","Agregar transacción"
"Add User","Añadir usuario"
"Add User To Group","Añadir Usuario al Grupo"
"Add a Company","Añadir una compañía"
"Add a Pharmacy","Agregar Farmacia"
"Add as New","Agreagar como nuevo"
"Add as a new note","Añadir como nueva nota"
"Add criteria","Añadir Criterios"
"Add encounter/notes","Añadir encuentro/notas"
"Add following lines to the Apache configuration file","Añadir las siguientes lineas al file de configuracion de Apache"
"Add is not authorized!","Añadir no permitido!"
"Add new","Agregar Nuevo"
"Add new category : ","Añadir nuevo categoría :"
"Add new certificates to the Apache configuration file","Añadir Certificados nuevos al archivo de configuracion de Apache"
"Add new client record","Agregar nuevo registro de cliente"
"Add new lot and transaction","Añadir lote nuevo y transacción"
"Add new note","Añadir nueva nota"
"Add payment","Agregar pago"
"Add to","Añadir a"
"Add to Medication List","Agregar a lista de medic"
"Add/Edit Patient Transaction","Añadir/Editar transaccion de paciente"
"Add/Edit eRx","Añadir/Editar eRx"
"Adding demographics is not authorized.","No se autoriza añadir datos demograficos."
"Addison Syndrom","Síndrome de Addison"
"Addison Syndrome","Síndrome de Addison"
"Additional Attributes","Atributos adicionales"
"Additional Diagnosis:","Diagnósticos adicionales:"
"Additional History","Historia Adicional"
"Additional Info","Información adicional"
"Additional Info:","Información Adicional:"
"Additional Labs","Laboratorios adicionales"
"Additional Notes","Notas adicionales"
"Additional Notes:","Notas adicionales:"
"Additional Notes: ","Notas adicionales:"
"Additional X-RAY Notes:","Notas de Rayos X adicionales:"
"Additional history notes","Notas adicionales de la historia"
"Addr Bk","Lbta Direcciones"
"Addr Book","Agenda Proveedores"
Address,Dirección
"Address Book","Libreta de direcciones"
"Address Book Types","Tipos de Directorio"
"Address book entry for the company performing this procedure","Entrada al Libro de Direcciones para la compañia que hace este procedimiento"
"Address book entry for the distributor","Entrada al libro de Direcciones para el distribuidor"
"Address book entry for the vendor","Entrada al Libro de Direcciones para el vendedor"
Address1,Dirección1
Address2,Dirección2
Address:,Dirección:
Adj,Ajuste
"Adj Amount","Monto de Ajuste"
"Adj Type","Tipo de Ajuste"
Adjust,Ajustar
Adjustment,Ajuste
"Adjustment Amt","Ajuste importe"
"Adjustment Reasons","Motivos del ajuste"
"Adjustment reasons","Razones para ajuste"
"Adjustment value for code ","Valor de ajuste para código"
Adjustments,Ajustes
"Adm adjust","Ajuste adm"
Admin,Administrativo
"Admin Email Address","Dirección correo electrónico administración"
"Administer Via","Via de administracion"
Administered,Administrado
"Administered By","Administrado por"
Administration,Administración
Administrative,Administrativa
"Administrator, The",Administrador
Administrators,Administradores
"Administrators can do anything","Los administradores pueden hacer cualquier cosa"
Admission,Admisión
"Adolescent house","Casa del Adolescente"
"Adopted Method","Método adoptado"
"Adult Weight Screening and Follow-Up","Revisión Peso de Adulto y Seguimiento"
"Adult Weight Screening and Follow-Up (CQM)","Revisión Peso de Adulto y Seguimiento (GCC)"
"Advance Directive","Instrucción anticipada"
"Advance Directives","Directivas Avanzadas"
"Advance Directives Warning","Aviso Directivas Avanzadas"
Advanced,Avanzado
Advice,Consejo
"Affect normal","Afecta normales"
"After hrs calls","Llamadas fuera de hora"
"After performing above configurations, import the admin client certificate to the browser and restart Apache server (empty password).","Despues de hacer las configuraciones mencionadas, importar el certificado de cliente de admin al navegador y reiniciar el server Apache (Palabra clave vacia)"
"After saving the PDF, click [View Log] to check for errors.","Después de guardar el PDF, clic [Ver registro] para comprobar si hay errores."
"After saving the TEXT file(s), click [View Log] to check for errors.","Despues de guardar los archivos de TEXTO, clic [Ver registro] para comprobar errores."
"After saving your batch, click [View Log] to check for errors.","Después de guardar su lote, clic [Ver registro] para comprobar si hay errores."
"After the information is correctly entered, click the Save button.","Una vez completada la informacion correcta, clic guardar"
Afternoon,Vespertino
Again,"Otra vez"
Age,Edad
"Age By","Edad por"
"Age By:","Edad por:"
"Age Category","Categoría de edad"
"Age From","Edad desde"
"Age From:","Edad desde:"
"Age Range","Rango de Edad"
"Age at First Abortion","Edad al primer aborto"
"Age at First Pregnancy","Edad al primer embarazo"
"Age data is out of range.","Datos de edad están fuera de rango."
"Age format for ""age from"" is not valid","Formato de edad para 'desde x edad' no es válido"
"Age format for ""age up to"" is not valid","Formato de edad para 'hasta x edad' no es válido"
"Age max","Edad Maxima"
"Age min","Edad Minima"
"Age of Menarche","Edad a la menarquia"
"Aging Columns:",Antiguedad
Albanian,Albanés
Alcohol,Alcohol
"Alcohol Abuse and Alcoholism","Abuso del alcohol y alcoholismo"
"Alcohol consumption","Consumo de alcohol"
"Alert Count","Conteo de Alerta"
Alerts,Alertas
All,Todos
"All (Collated Format A)","Todos (Formatos Cotejados A)"
"All (Collated Format B)","Todos (Formatos Cotejados B)"
"All (Cumulative)","Todos (Acumulativo)"
"All Cashiers","Todas las cajeras"
"All Categories","Todas las categorías"
"All Clients / All Facilities","Todos los clientes / Todas las clínicas"
"All Clinics - Detail","Todas las clínicas - Detalle"
"All Clinics - Summary","Todas las clínicas - Resumen"
"All Codes","Todos los Codigos"
"All Day","Todo el día"
"All Facilities","Todas las clínicas"
"All Injuries/Problems/Issues","Toda Injuria/Problema/Questiones"
"All Languages Allowed","Permitir todos los Idiomas"
"All Products","Todos los productos"
"All Providers","Todos los provedores"
"All Reviewed and Negative:",Rev/Negat
"All Topics","Todos los temas"
"All Types","Todos los tipos"
"All Users","Todos los usuarios"
"All day event","Dia completo"
"All demographics fields, with search and duplication check","Verificacion con busqueda de Demograficas y duplicados"
"All or part of the first name","Todo o parte del nombre"
"All or part of the last name","Todo o parte del apellido"
"All or part of the organization","Nombre de la organización parcial o completo"
"All providers","Todos los proveedores"
"All users",Todos
"All warehouses","Todos los almacenes"
Allergic,Alérgico
Allergies,Alergias
Allergies:,Alergias:
Allergy,Alergia
"Allergy Reaction","Reacción Alérgica"
"Allergy import successfully completed","Importe de Alergia completado con exito"
"Allergy to Prostaglandins/Mifepristone","Alergia a prostaglandinas/mifepristona"
Allocate,Asignar
Allow,Permitir
"Allow Debugging Language","Permitir depuracion de Lenguaje"
"Allow Email","Permitir eMail"
"Allow Email?","¿Autoriza el envío de emails?"
"Allow Encounter Claims","Permitir reclamos de encuentros"
"Allow Health Information Exchange","Permitir el intercambio de informacion medica"
"Allow Immunization Info Sharing","Permitir compartir informacion de inmunizaciones"
"Allow Immunization Registry Use","Permitir el registro de uso de inmunizaciones"
"Allow Mail Message","Permitir correo regular"
"Allow Patient Portal","Permitir Portal del Paciente"
"Allow SMS","Permitir mensajes SMS"
"Allow SMS (text messages)?","¿Autoriza mensajes de texto SMS?"
"Allow Voice Message","Permitir mensajes de voz"
"Allow all available languages as choices on menu at login.","Permitir todos los idiomas disponibles en el menu de inicio"
"Allow creation of claims containing diagnoses but not procedures or charges. Most clinics do not want this.","Permitir creación de reclamos (facturas) con diagnósticos pero no procedimientos o cargos. Muchas clinicas no desean esto."
"Allow email messages?","¿Autoriza el envío de emails?"
"Allow submitted events to be made active instantly?","Permitir la activación instantánea de los eventos entrados?"
"Allow telephone messages?","¿Autoriza mensajes telefónicos?"
"Allow users to publish Global Events","Permitir a los usuarios publicar eventos globales"
"Allow users to publish Personal Calendars","Permitir a los usuarios publicar calendarios personales"
Allowed,Permitido
"Allowed Languages","Idiomas Permitidos"
Allowed(c),"Asignado ©"
"Already used, choose another identifier","Indentificador ya usado, elige otro"
"Already used, choose another title","Título ya usado, elige otro"
"Alt Address","Dirección alternativa"
"Alternatively, you may use the search page to upload an electronic remittance (X12 835) file that you have obtained from your payer or clearinghouse.  You can do this by clicking the Browse button and selecting the file to upload, and then clicking Search","De forma alternativa, puede usar la página de búsqueda para cargar un archivo electrónico (X12835) que haya recibido de su pagador. Puede hacerlo oprimiendo el botón ""Explorar"" y seleccionar el archivo a cargar, y luego oprimir ""Explorar"" para ejecutar la carga y desplegar las facturas correspondientes. En este caso, los parámetros mencionados arriba no aplican y pueden ser ignorados. La carga guarda el archivo pero no procesa su contenido - esto se realiza de forma separada tal y como se describe abajo."
"Amend Existing Note","Enmendar nota existente"
"American Indian","Indigena americano"
"American Indian or Alaska Native","Indio Nativo (EU) o Esquimal"
Amharic,"Amárico (Lengua de Etiopia)"
Amount,Monto
"Amount Charges","Cantidad cargada"
"Amount Paid","Monto pagado"
"Amount for Past Balance","Cantidad para balance anterior"
"Amount for This Visit","Cantidad por esta visita"
Amount:,Balance:
"Amt Billed","Importe Facturado"
"An end date later than the start date is required for repeated events!","¡Se requiere una fecha de finalización posterior a la fecha de inicio para los eventos repetidos!"
"An error occurred while dumping OpenEMR web directory tree","Ocurrió un error al vaciar el directorio de arbol de la web OpenEMR"
"An error occurred while dumping SQL-Ledger web directory tree","Ocurrió un error al vaciar el directorio de arbol de la web SQL-Ledger"
"An error occurred while dumping phpGACL web directory tree","Ocurrió un error al vaciar el directorio de arbol de la web phpGACL"
"An incomplete GCAC issue has been created and linked. Someone will need to complete it later.","Se ha creado y se ha ligado una edición incompleta de GCAC. Alguien necesitará terminarla más adelante."
"An unexpected error has occurred.","Ocurrio error inesperado"
"An uppercase letter","Una letra mayuscula"
"Analgesic Provided","Analgésico provisto"
And,Y
"And :",y
And:,y
Anemia,Anemia
"Anesthesia Complications","Complicaciones de anestesia"
Ankle,Tobillo
"Ankle + heel","Tobillo + talón"
"Ankle Evaluation Form","Formulario de evalución del tobillo"
"Ankle Problems","Problemas de tobillo"
"Ankylosing Sondlilitis","Espondilitis anquilosante"
"Ankylosing Spondlilitis","Espondilitis anquilosante"
Anorexia,Anorexia
"Another thing you can do in the posting window is request secondary billing. If you select this checkbox before saving, then the original claim will be re-opened and queued on the Billing page, and will be processed during the next billing run.","Otra cosa que puede hacer en la ventana de publicación es solicitar facturación secundaria. Si selecciona la casilla de verificación antes de guardar, la reclamación original será reabierta y asignada en la página de Facturación, y será procesada en la siguiente corrida de facturación."
"Antiseptic Provided","Antiséptico provisto"
"Anus nl, no rectal tenderness/mass","Ano normal, recto sin distension ni masa"
Anxiety,Ansiedad
Any,Cualquiera
"Any Category","Cualquier categoría"
"Any category","Todas las categorías"
"Any part of the desired code or its description","Cualquier parte del código deseado o su descripción"
"Any part of the desired specialty","Cualquier parte de la especialidad deseada"
"Any part of the drug id or drug name","Parte de identificador o Nombre de Medicamento"
"Any part of the immunization id or immunization name","Parte de identificador o Nombre de Vacuna"
"Any part of the patient name, or ""last,first"", or ""X-Y""","Cualquier parte del nombre del paciente, o ""Apellido, Nombre"", o ""X-Y"""
Apnea,Apnea
Apnea:,Apnea
Appearance,Apariencia
Appearance:,Apariencia
"Append this note","Añadir esta nota"
"Append to This Note","Añadir a Esta Nota"
"Append to the existing note","Añadir a la nota existente"
"Append to this note","Añadir a esta nota"
Appendectomy,Apendicectomía
"Applicable Patients","Pacientes Aplicables"
"Application Receiver Code (GS03 - If blank ISA08 will be used)","Código de Aplicación del receptor (GS03 - si está en blanco se usará ISA08)"
"Application Sender Code (GS02)","Codigo de Aplicacion del Enviador"
"Application Title","Título de la Aplicación"
"Application name for login page and main window title.","Nombre de solicitud para página de ingreso y título de ventana principal"
"Applies to the Vitals form and Growth Chart","Aplica al formulario de Signos Vitales y Cartilla de Crecimiento"
"Apply the changes to the Current event only, to this and all Future occurrences, or to All occurrences?","Aplicar los cambios a la cita actual solamente, a este y todos los acontecimientos futuros, o para Todos los casos?"
Applying,Aplicando
"Applying Patch to site","Aplicando parche al sitio"
Appointment,Cita
"Appointment Date","Fecha de Cita"
"Appointment Display Style","Estilo de visualizacion de la cita"
"Appointment Reminder Rule","Regla para recordar Cita"
"Appointment Statuses","Estados de la cita"
"Appointment status","Estado de la Cita"
"Appointment statuses","Estado de las citas"
"Appointment within","Rango de fecha de cita"
"Appointment within:","Rango de fecha de cita:"
"Appointment/Event Color","Color de Cita/Evento"
Appointments,Citas
"Appointments (write optional)","Citas (escriba opcional)"
"Appointments (write,wsome optional)","Citas (escribir, algunos opcional)"
"Appointments Report","Reporte de Citas"
"Appointments and Encounters","Citas y Visitas"
"Appointments and Visits","Citas y Visitas"
"Appointments-Encounters Report","Informes Citas-Encuentros"
Approve,Aprobar
Approved,Aprobado
"Approved Events Administration","Eventos Administrativos Aprobados"
Appt-Enc,"Citas y Visitas"
Appts,Citas
Apr,Abr
April,Abril
Arabic,Arabigo
"Are access control group names to be translated?","¿Se traducirán los nombres del grupo de control de acceso?"
"Are appointment category names to be translated?","¿Se traducirán los nombres de las categorías de citas?"
"Are document category names to be translated?","¿Se traducirán los nombres de categorías de documentos?"
"Are fees charged for this type?","Son cobrados los honorarios por este tipo?"
"Are patient note titles to be translated?","¿Se traducirán los títulos de las notas del paciente?"
"Are the codes stored in external sql tables (0-No, 1-ICD10, 2-SNOMED(RF1), 3-SNOMED(RF2)) ?","¿Están los códigos almacenados en tablas SQL externas? (0: No; 1: “ICD10”; 2: “SNOMED(RF1)”; 3: “SNOMED(RF2)”)"
"Are you prepared to complete a new GCAC issue for this visit?","¿Está preparado para completar una nueva incidencia de GCAC (Global Connection Admission Control) para esta visita?"
"Are you sure to post for today?","¿Está seguro de enviar hoy?"
"Are you sure you want to approve these events?","¿Estás seguro quer quieres aprobar estos eventos?"
"Are you sure you want to completely remove this form?","¿Estás seguro de que deseas eliminar por completo este formulario?"
"Are you sure you want to delete this disclosure?","¿Está seguro que desea eliminar este acceso?"
"Are you sure you want to delete this event?","¿Estás seguro que quieres eliminar estos eventos?"
"Are you sure you want to delete this item from the database?","¿Esta seguro que quiere eliminar este item de la base de datos?"
"Are you sure you want to delete this note?","¿Está usted seguro usted quiere suprimir esta nota?"
"Are you sure you want to edit these events?","¿Estás seguro que quieres editar estos eventos?"
"Are you sure you want to hide these events?","¿Estás seguro que quieres ocultar estos eventos?"
"Are you sure you want to view these events?","¿Estás seguro que quieres visualizar estos eventos?"
"Are you sure you wish to delete the entire group named","Está usted seguro usted que desea suprimir al grupo entero nombrado"
"Are you sure you wish to delete the entire list","Está usted seguro que desea suprimir la lista entera"
"Are you sure you wish to delete the field in","Está usted seguro que quiere suprimir el campo interno"
"Are you sure you wish to delete the selected fields?","¿Está usted seguro que quiere borrar los campos seleccionados?"
"Are you sure you'd like to continue with these actions?","¿Estás seguro que quieres continuar con estas acciones?"
"Area not specified","Zona no especificada"
Arm,Brazo
Armenian,Armenio
Arrythmia,Arritmia
Arrythmia:,Arritmia
Arthritis,Artritis
"Arthritis / degen joint diseas","Artritis / Enfermedad degenerativa de articulaciones"
"Arthritis / degen joint disease","Artritis / Enfermedad degenerativa de articulaciones"
Arthritis:,Artritis
"Artificial Insemination","Insem artif"
"As Of","A partir de"
Asian,Asiático
Assessment,Evaluación
Assessment:,Evaluación
"Assigned To","Asignado a"
Assistant,Ayudante
"Associated Clinics","Clínicas asociadas"
"Associated Induced Procedure","Procedimiento asociado"
Asthma,Asma
Asthma:,Asma
"At least one search parameter is required if you select All.","Se requiere al menos un parámetro de búsqueda si usted seleccionó Todos"
"At the Navicular","En el Escafoides"
"At the Navicular:","En el Escafoides:"
Atherosclerosis,Aterosclerosis
"Athletic team","Equipo de atletismo"
Athletic/Injury,"Lesión Deportiva"
Attention,Atención
Attn,Atención
Attributes,Atributos
