,constant_name,definition,IPPF_Spanish (proposed),Same as Def?,Notes,source,openemr,test,spanish,argentina,panama,haiti,,0,TEST,KEVIN or ANA
17, min,min,min,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
18, not found!,no encontrado!,¡no encontrado!,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
19, Patient History / Lifestyle,Historia / Estilo de Vida de la/el Cliente,Historia / Estilo de Vida de la/el Cliente,1,,test,NULL,Historia / Estilo de Vida de la/el Cliente,NULL,NULL,NULL,NULL,1,0,1,0
20," Pecularities in many browsers may mean that the output below enters your screen in sudden jerks and that there are long pauses of several seconds where it  appears as though things may have crashed. That is not the case, you will eventually see output co","Peculiaridades en varios exploradores pueden causar que la información abajo aparece bruscamente, y ocurren pausas extensas que aparentan que el sistema se ha dañado. Este no es el caso, y eventualmente verá información desplegada línea por línea. Podrían aparecer números secuenciales para indicar que aunque no aparezca nada más, el sistema tiene actividad. Estos números serán entremezclados con el contenido de la facturación, y es normal.","Peculiaridades en varios exploradores pueden causar que la informaciónsiguiente aparezca bruscamente, y que ocurran pausas extensas que aparentan que el sistema se ha dañado. Este no es el caso, y eventualmente verá información desplegada línea por línea. Podrían aparecer números secuenciales para indicar que aunque no aparezca nada más, el sistema tiene actividad. Estos números serán entremezclados con el contenido de la facturación, y es normal.",0,English description is truncated,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
21, prescription has reached its limit of,la receta ha alcanzado el límite de,la receta ha alcanzado el límite de,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
22, until ,hasta,hasta,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
23, Up to:,Hasta,Hasta:,0,,test,NULL,Hasta,NULL,NULL,NULL,NULL,1,1,1,0
24," update failed, not in database?","¿falló la actualización, no está en la base de datos?","falló la actualización, ¿no está en la base de datos?",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
25, was marked as billed only.,marcado como solo facturado.,marcado como solo facturado.,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
26, was queued successfully.,puesto en cola.,puesto en cola de espera.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
27,! Left w/o visit,! Se fue sin visita,! se retiró sin consulta,0,Note that visit and consultation (see openemr interpretation) can produce a confusion here. A client may have visited the clinic and leave without having a consultation. But in order to know this she had to VISIT the clinic. So the question is whether she left without a consultation... correct?  (i.e. a visit may comprise one or more consultations). Kevin can you help?,test,! se retiró sin consulta,! Se fue sin visita,NULL,NULL,NULL,NULL,1,1,1,1
28,""" for code ",""" para código ",""" para código ",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
29,""" is CHECKED in PostCalendar Settings!",""" está marcado en el seting the PostCalendar",""" MARCADO en parámetros PostCalendar",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
30,# Ins/fin issue,# Problema Ins/fin,# asunto de seguro o financiero,0,,test,# asunto de seguro o financiero,# Problema Ins/fin,NULL,NULL,NULL,NULL,1,1,1,0
31,# of tablets:,# número de tabletas:,No. de tabletas,0,,test,# número de tabletas:,No. de tabletas,NULL,NULL,NULL,NULL,1,1,1,0
32,$,$,$,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
33,$ Coding done,$ Codificación hecha,$ Codificación hecha,1,,test,$ Codificado,$ Codificación hecha,NULL,NULL,NULL,NULL,1,0,1,0
34,$label (yyyy-mm-dd): ,$etiqueta (yyyy-mm-dd),$etiqueta (yyyy-mm-dd),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
35,%,%,%,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
36,% Canceled < 24h,% Canceló en <24h,% Canceló en <24h,1,It would be useful to specify what was cancelled (e.g. appointment),test,% Cancelado <24 hrs,% Canceló en <24h,NULL,NULL,NULL,NULL,1,0,1,1
37,% Cancelled <  24h ,% Cancelado < 24 hrs,% Cancelado < 24 hrs,1,It would be useful to specify what was cancelled (e.g. appointment),openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1
38,"% matches any string, _ matches any character","% reemplaza cualquier cadena, _ reemplaza cualquier caracter","% reemplaza cualquier cadena, _ reemplaza cualquier carácter",0,,test,NULL,"% reemplaza cualquier cadena, _ reemplaza cualquier caracter",NULL,NULL,NULL,NULL,1,1,1,0
39,' should exist but does not.,"debería, pero no existe","debería, pero no existe",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
40,"(% matches any string, _ matches any character)","(% reemplaza cualquier cadena, _ reemplaza cualquier caracter)","(% reemplaza cualquier cadena, _ reemplaza cualquier carácter)",0,,test,"(% Coincide con cualquier cadena, _ Coincide con cualquier carácter) ","(% reemplaza cualquier cadena, _ reemplaza cualquier caracter)",NULL,NULL,NULL,NULL,1,1,1,0
41,(Add New Group),Agregar nuevo grupo,(añadir nuevo grupo),0,,test,NULL,Agregar nuevo grupo,NULL,NULL,NULL,NULL,1,1,1,0
42,(Add Transaction),Agregar Transacción,(Añadir Transacción),0,,test,NULL,Agregar Transacción,NULL,NULL,NULL,NULL,1,1,1,0
43,(admin),(admin),(admin),1,,test,NULL,(admin),NULL,NULL,NULL,NULL,1,0,1,0
44,(Back),(Volver) ,(Atrás) ,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
45,(Click to edit),(Haga clic para editar) ,(Seleccione para editar) ,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
46,(Default),(Predeterminado),(Predeterminado),1,,test,NULL,(Predeterminado),NULL,NULL,NULL,NULL,1,0,1,0
47,(Delete),Borrar,(Borrar),0,,test,NULL,Borrar,NULL,NULL,NULL,NULL,1,1,1,0
48,(Edit),Modificar,(Modificar),0,,test,NULL,Modificar,NULL,NULL,NULL,NULL,1,1,1,0
49,"(Email delivery is immediate, while automated VOIP is sent to the service provider for further processing.)","(el email tiene entrega inmediata, mientras que el mensaje de VOIP es enviado al proveedor del servicio para su proceso futuro)","(el email tiene entrega inmediata, mientras que el mensaje de VOIP es enviado al proveedor del servicio para su proceso futuro)",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
50,(Fill here only if sending email notification to patients),(Llene aquí solamente si envía notificación por email a clientes),(Llene aquí solamente si envía notificación por email a clientes),1,,test,NULL,(Llene aquí solamente si envía notificación por email a clientes),NULL,NULL,NULL,NULL,1,0,1,0
51,"(if entered, select only those who have had this service)",(solo mostrará clientes que tuvieron este servicio),(solo mostrará clientes que tuvieron este servicio),1,,test,NULL,(solo mostrará clientes que tuvieron este servicio),NULL,NULL,NULL,NULL,1,0,1,0
52,(More),Más,(Más),0,,panama,(Mas),Más,NULL,NULL,Más,Mas,1,1,0,0
53,(New Patient),Nuevo cliente,(Nuevo cliente),0,,test,(Paciente Nuevo),Nuevo cliente,NULL,NULL,NULL,NULL,1,1,1,0
54,(Notes and Authorizations),Notas y Autorizaciones,(Notas y Autorizaciones),0,,test,(Notas y Autorizaciones),Notas y Autorizaciones,NULL,NULL,NULL,NULL,1,1,1,0
55,(only if billing location): ,(solamente si emite facturas),(solamente si emite facturas),1,,test,NULL,(solamente si emite facturas),NULL,NULL,NULL,NULL,1,0,1,0
56,(Patient Notes),Notas del Paciente,(Notas del Cliente),0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
57,(Print Blank Referral Form),Imprimir Forma de Referencia,(Imprimir Forma de Referencia),0,,test,NULL,Imprimir Forma de Referencia,NULL,NULL,NULL,NULL,1,1,1,0
58,(Remove Group),Remover grupo,(Remover grupo),0,,test,NULL,Remover grupo,NULL,NULL,NULL,NULL,1,1,1,0
59,"(Select one of these, or type your own title)","(Seleccione una de estas, o escriba su propio título) ","(Seleccionar uno de estos títulos, o escribir  uno propio)",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
60,(Shift-)Click or drag to change value,(Shift-) Selecciona o arrastrar para cambiar valor,(Shift-) Seleccionar o arrastrar para cambiar valor,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
61,(To Clinical View) ,Vista datos clínicos,(Vista datos clínicos),0,,test,NULL,Vista datos clínicos,NULL,NULL,NULL,NULL,1,1,1,0
62,([ctrl] + click to select multiple recipients),([ctrl] + click para seleccionar múltiples destinatarios),([ctrl] + clic para seleccionar múltiples destinatarios),0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
63,* Reminder done,* Recordatorio realizado,* Recordatorio realizado,1,,test,* Recordatorio hecho,* Recordatorio realizado,NULL,NULL,NULL,NULL,1,0,1,0
64,** Please move surgeries to Issues!,** Por Favor mover cirugías a incidencias,** Por Favor mover cirugías a incidencias,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
65,*Required,* Requerido,* Requerido,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
66,+ Chart pulled,+ Expediente localizado,+ Expediente localizado,1,,test,Historia Clínica retirada,+ Expediente localizado,NULL,NULL,NULL,NULL,1,0,1,0
67,- None,- Ninguno,- Ninguno,1,,test,-Ninguno,- Ninguno,NULL,NULL,NULL,NULL,1,0,1,0
68,-- All --,,,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
69,-- All Facilities --,-- Todas las clínicas --,-- Todas las clínicas --,1,,panama,NULL,NULL,NULL,NULL,-- Todas las clínicas --,NULL,1,0,0,0
70,-- or select from inventory --,-- o seleccionar del inventario --,-- o seleccionar del inventario --,1,,test,NULL,-- o seleccionar del inventario --,NULL,NULL,NULL,NULL,1,0,1,0
71,-- Please Select --,-- Seleccione --,-- Seleccione --,1,,test,NULL,-- Seleccione --,NULL,NULL,NULL,NULL,1,0,1,0
72,--Select Role--,,,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
73,0,0,0,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
74,0,0,0,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
75,0-10,0-10,0-10,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
76,0-24,0-24,0-24,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
77,1,1,1,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
78,1 = North America. See http://www.wtng.info/ for a list of other country codes.,1=Norteamerica. Ver http://www.wtng.info/ para lista de códigos de otros países.,1=Norteamérica. Ver http://www.wtng.info/ para lista de códigos de otros países.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
79,1 Day From Now,1 dia a partir de ahora,1 dia a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
80,1 First Visit to Clinic,1 Admisión,1 Admisión,1,,spanish,NULL,1 Admisión,1 Admisión,1 Primera vez,NULL,NULL,,,0,0
81,1 Month From Now,1 mes a partir de ahora,1 mes a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
82,1 Week From Now,1 semana a partir de ahora,1 semana a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
83,1 Year From Now,1 año a partir de ahora,1 año a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
84,"1.Rest 2. Ice for two days 3. Compression, leave the dressing in place unless the foot develops numbness or pale color 4. Elevate the foot and leg","1. Descanso 2. Hielo por dos días 3. Compresión, dejar el vendaje en su lugar a menos que el pie presente hormigueo o color pálido 4. Elevar la pierna y el pie","1. Descanso 2. Hielo por dos días 3. Compresión, dejar el vendaje en su lugar a menos que el pie presente hormigueo o color pálido 4. Elevar la pierna y el pie",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
85,11-14,11-14,11-14,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
86,12 hr,12 hr,12 hr,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
87,15-19,15-19,15-19,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
88,2,2,2,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
89,2 Days From Now,2 dias a partir de ahora,2 dias a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
90,2 Months From Now,2 meses a partir de ahora,2 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
91,2 Re-Visit / Re-Supply,2 Seguimiento,2 Seguimiento/Reabastecimiento,0,,spanish,NULL,2 Seguimiento,2 Seguimiento,2 Ulterior,NULL,NULL,,,0,0
92,2 Weeks From Now,2 semanas a partir de ahora,2 semanas a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
93,2 Years From Now,2 años a partir de ahora,2 años a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
94,2-20 years,,,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
95,20-24,20-24,20-24,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
96,2111-13,2111-13,2111-13,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
97,24 hr,24 hr,24 hr,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
98,25+,25+,25+,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
99,25-29,25-29,25-29,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
100,2nd,2da,2da,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
101,3 Administrative only,3 Administrativa,3 Administrativa,1,,test,NULL,3 Administrativa,NULL,NULL,NULL,NULL,1,0,1,0
102,3 Days From Now,3 dias a partir de ahora,3 dias a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
103,3 months,3 meses,3 meses,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
104,3 Months From Now,3 meses a partir de ahora,3 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
105,3 times daily,3 veces al día,3 veces al día,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
106,3 Weeks From Now,3 semanas a partir de ahora,3 semanas a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
107,30-34,30-34,30-34,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
108,35-39,35-39,35-39,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
109,3rd,3era,3era,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
110,4 Days From Now,4 dias a partir de ahora,4 dias a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
111,4 months,4 meses,4 meses,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
112,4 Months From Now,4 meses a partir de ahora,4 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
113,4 Supply/Re-Supply,4 Sólo productos,4 Abastecimiento/Reabastecimiento,0,,test,NULL,4 Sólo productos,NULL,NULL,NULL,NULL,1,1,1,0
114,4 times daily,4 veces al día,4 veces al día,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
115,4 Weeks From Now,4 semanas a partir de ahora,4 semanas a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
116,40-44,40-44,40-44,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
117,45+,45+,45+,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
118,"465.9, URI","465,9, URI","465,9, URI",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
119,"466.0, Bronchitis, Acute NOS","466.0, Bronquitis, Aguda","466.0, Bronquitis, Aguda",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
120,"486.0, Pneumonia, Acute","486.0, Neumonía, Aguda","486.0, Neumonía, Aguda",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
121,"491.21, COPD Exacerbation",491.21 Agravación de Enfermedad Pulmonar Obstructiva Crónica,491.21 Agravación de Enfermedad Pulmonar Obstructiva Crónica,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
122,"491.8, Bronchitis, Chronic","491.8, Bronquitis, Crónica","491.8, Bronquitis, Crónica",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
123,"493.92, Asthma, Acute Exac.","493.92, Asma, Aguda","493.92, Asma, Aguda",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
124,"496.0, COPD",496.0 Enfermedad Pulmonar Obstructiva Crónica,496.0 Enfermedad Pulmonar Obstructiva Crónica,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
125,4th,4ta,4ta,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
126,5 Days From Now,5 dias a partir de hoy,5 dias a partir de hoy,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
127,5 Months From Now,5 meses a partir de ahora,5 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
128,5 Weeks From Now,5 semanas a partir de ahora,5 semanas a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
129,"519.7, Bronchospasm","519.7, Broncoespasmo","519.7, Broncoespasmo",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
130,5th,5ta,5ta,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
131,6 Days From Now,6 dias a partir de ahora,6 dias a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
132,6 months,6 meses,6 meses,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
133,6 Months From Now,6 meses a partir de ahora,6 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
134,6 Weeks From Now,6 semanas a partir de ahora,6 semanas a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
135,6th,6ta,6ta,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
136,7 Months From Now,7 meses a partir de ahora,7 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
137,8 Months From Now,8 meses a partir de ahora,8 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
138,"824.0 Fracture, medial malleolus, closed","824.0 Fractura, maléolo intermedio, cerrado ","824.0 Fractura, maléolo intermedio, cerrado ",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
139,"824.2 Fracture, lateral malleolus, closed","824.2 Fractura, maléolo lateral, cerrado ","824.2 Fractura, maléolo lateral, cerrado ",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
140,"824.6 Fracture, Trimalleolar, closed","824,6 Fractura, Trimalleolar, cerrado","824,6 Fractura, Trimalleolar, cerrado",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
141,"825.32 Fracture, of Navicular (ankle)",825.32 Fractura de navicular (tobillo),825.32 Fractura de navicular (tobillo),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
142,"825.35 Fracture, Base of fifth (5th) Metatarsal","825,35 Fractura, Base de la quinta (5 ª) metatarsianas","825,35 Fractura, Base del quinto (5°) metatarsiano",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
143,845.00 ankle sprain NOS,"845,00 torcedura del tobillo NOS","845,00 torcedura del tobillo no especificada",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
144,845.01 Sprain Medial (Deltoid) Lig.,"845,01 Esquince ligamento tibial (Deltoides). ","845,01 Esquince ligamento tibial (Deltoides). ",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
145,"845.02 Sprain, Calcaneal fibular","845,02 Torcedura, fibular Calcánea","845,02 Torcedura, fibular Calcánea",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
146,9 Months From Now,9 meses a partir de ahora,9 meses a partir de ahora,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
147,99212 Established - Uncomplicated,Establecido 99212 - sin complicaciones ,Establecido 99212 - sin complicaciones ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
148,99213 Established - Low Complexity,Establecido 99213 - Baja Complejidad ,Establecido 99213 - Baja Complejidad ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
149,< In exam room	,< En consulta,< En consulta,1,,test,NULL,< En consulta,NULL,NULL,NULL,NULL,1,0,1,0
150,< In exam room,< en consultorio,< en consultorio,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
151,> Checked out,> Ya pagó,> Ya pagó,1,,test,> De Alta / Salida,> Ya pagó,NULL,NULL,NULL,NULL,1,0,1,0
152,?,,,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
153,? No show,? No se presentó,? No se presentó,1,,test,? ausente,? No se presentó,NULL,NULL,NULL,NULL,1,0,1,0
154,@ Arrived,@ Llegó,@ Llegó,1,,test,@ llegado,@ Llegó,NULL,NULL,NULL,NULL,1,0,1,0
155,A,"Un, Una","Un, Una",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
156,A check number or claim number to identify the payment,Un número de cheque o reclamación para identificar el pago,Un número de cheque o reclamación para identificar el pago,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
157,A client certificate for the admin user,Un certificado del cliente para el usuario de admin,Un certificado del cliente para el usuario admin,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
158,A clinical document is attached.,,,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
159,A distributor is required,Se requiere un distribuidor,Se requiere un distribuidor,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
160,A GCAC visit form should be added to this visit.,Formulario de visita GCAC debe ser agregado a esta visita,Formulario del proyecto GCAC debe añadirse a esta visita,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
161,A lot number is required,Un número de lote es requerido,Se requiere  un número de lote,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
162,A lot number is required!,Un número de lote es requerido!,¡Se requiere  un número de lote!,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
163,A lowercase letter,Una letra minuscula,Una letra minúscula,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
164,A number,Un numero,Un número,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
165,A patient with this ID already exists.,Un paciente con esta ID ya existe,Ya existe un cliente con esta ID,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
166,A patient with this name already exists.,Un paciente con este nombre ya existe,Ya existe un cliente con este nombre,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
167,A patient with this SS already exists.,Un paciente con este numero de Seguro Social ya existe,Ya existe un cliente con este numero de Seguro Socia,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
168,A positive number will show that many past appointments on a Widget in the Patient Summary screen.,,,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
169,A referral source may be specified for each visit.,Una fuente de referencia puede ser especificada para cada visita,Una fuente de referencia puede ser especificada para cada visita,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
170,A related IPPF code is required!,Un código IPPF relacionado es requerido,Se requiere un código de IPPF relacionado,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
171,A special character,Un caracter especial,Un caracter especial,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
172,"A unique value to identify this field, not visible to the user","Un valor único para identificar este campo, no visible al usuario","Un valor único para identificar este campo, no visible al usuario",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
173,a.c.,a.c.,antes de las comidas,0,,test,antes de las comidas,a.c.,NULL,NULL,NULL,NULL,1,1,1,0
174,a.m.,a.m.,a.m.,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
175,A/F Level Right:,Nivel de A/F Correcto,Nivel aire/fluido correcto,0,,test,Nivel aire/fluido correcto,Nivel de A/F Correcto,NULL,NULL,NULL,NULL,1,1,1,0
176,AB,AB,Libreta de direcciones,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
177,Abbreviation,Abreviatura,Abreviatura,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
178,Abcess:,Abceso,Absceso,0,,test,Absceso,Abceso,NULL,NULL,NULL,NULL,1,1,1,0
