constant_name,definition,source,openemr,test,spanish,argentina,panama,haiti
" was marked as billed only.","marcado como solo facturado.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" was queued successfully.","puesto en cola.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"! Left w/o visit","! Se fue sin visita",test,"! se retiró sin consulta","! Se fue sin visita",NULL,NULL,NULL,NULL
""" for code ",""" para código ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
""" is CHECKED in PostCalendar Settings!",""" está marcado en el seting the PostCalendar",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"# Ins/fin issue","# Problema Ins/fin",test,"# asunto de seguro o financiero","# Problema Ins/fin",NULL,NULL,NULL,NULL
"# of tablets:","No. de tabletas",test,"# número de tabletas:","No. de tabletas",NULL,NULL,NULL,NULL
$,$,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"$ Coding done","$ Codificación hecha",test,"$ Codificado","$ Codificación hecha",NULL,NULL,NULL,NULL
"$label (yyyy-mm-dd): ","$etiqueta (yyyy-mm-dd)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
%,%,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"% Canceled < 24h","% Canceló en <24h",test,"% Cancelado <24 hrs","% Canceló en <24h",NULL,NULL,NULL,NULL
"% Cancelled <  24h ","% Cancelado < 24 hrs",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"% matches any string, _ matches any character","% reemplaza cualquier cadena, _ reemplaza cualquier caracter",test,NULL,"% reemplaza cualquier cadena, _ reemplaza cualquier caracter",NULL,NULL,NULL,NULL
"' should exist but does not.","debería, pero no existe",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"(% matches any string, _ matches any character)","(% reemplaza cualquier cadena, _ reemplaza cualquier caracter)",test,"(% Coincide con cualquier cadena, _ Coincide con cualquier carácter) ","(% reemplaza cualquier cadena, _ reemplaza cualquier caracter)",NULL,NULL,NULL,NULL
"(Add New Group)","Agregar nuevo grupo",test,NULL,"Agregar nuevo grupo",NULL,NULL,NULL,NULL
"(Add Transaction)","Agregar Transacción",test,NULL,"Agregar Transacción",NULL,NULL,NULL,NULL
(admin),(admin),test,NULL,(admin),NULL,NULL,NULL,NULL
(Back),"(Volver) ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"(Click to edit)","(Haga clic para editar) ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
(Default),(Predeterminado),test,NULL,(Predeterminado),NULL,NULL,NULL,NULL
(Delete),Borrar,test,NULL,Borrar,NULL,NULL,NULL,NULL
(Edit),Modificar,test,NULL,Modificar,NULL,NULL,NULL,NULL
"(Email delivery is immediate, while automated VOIP is sent to the service provider for further processing.)","(el email tiene entrega inmediata, mientras que el mensaje de VOIP es enviado al proveedor del servicio para su proceso futuro)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"(Fill here only if sending email notification to patients)","(Llene aquí solamente si envía notificación por email a clientes)",test,NULL,"(Llene aquí solamente si envía notificación por email a clientes)",NULL,NULL,NULL,NULL
"(if entered, select only those who have had this service)","(solo mostrará clientes que tuvieron este servicio)",test,NULL,"(solo mostrará clientes que tuvieron este servicio)",NULL,NULL,NULL,NULL
(More),Más,panama,(Mas),Más,NULL,NULL,Más,Mas
"(New Patient)","Nuevo cliente",test,"(Paciente Nuevo)","Nuevo cliente",NULL,NULL,NULL,NULL
"(Notes and Authorizations)","Notas y Autorizaciones",test,"(Notas y Autorizaciones)","Notas y Autorizaciones",NULL,NULL,NULL,NULL
"(only if billing location): ","(solamente si emite facturas)",test,NULL,"(solamente si emite facturas)",NULL,NULL,NULL,NULL
"(Patient Notes)","Notas del Paciente",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"(Print Blank Referral Form)","Imprimir Forma de Referencia",test,NULL,"Imprimir Forma de Referencia",NULL,NULL,NULL,NULL
"(Remove Group)","Remover grupo",test,NULL,"Remover grupo",NULL,NULL,NULL,NULL
"(Select one of these, or type your own title)","(Seleccione una de estas, o escriba su propio título) ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"(Shift-)Click or drag to change value","(Shift-) Selecciona o arrastrar para cambiar valor",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"(To Clinical View) ","Vista datos clínicos",test,NULL,"Vista datos clínicos",NULL,NULL,NULL,NULL
"([ctrl] + click to select multiple recipients)","([ctrl] + click para seleccionar múltiples destinatarios)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"* Reminder done","* Recordatorio realizado",test,"* Recordatorio hecho","* Recordatorio realizado",NULL,NULL,NULL,NULL
"** Please move surgeries to Issues!","** Por Favor mover cirugías a incidencias",openemr,NULL,NULL,NULL,NULL,NULL,NULL
*Required,"* Requerido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"+ Chart pulled","+ Expediente localizado",test,"Historia Clínica retirada","+ Expediente localizado",NULL,NULL,NULL,NULL
"- None","- Ninguno",test,-Ninguno,"- Ninguno",NULL,NULL,NULL,NULL
"-- All --",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"-- All Facilities --","-- Todas las clínicas --",panama,NULL,NULL,NULL,NULL,"-- Todas las clínicas --",NULL
"-- or select from inventory --","-- o seleccionar del inventario --",test,NULL,"-- o seleccionar del inventario --",NULL,NULL,NULL,NULL
"-- Please Select --","-- Seleccione --",test,NULL,"-- Seleccione --",NULL,NULL,NULL,NULL
"--Select Role--",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
.,.,openemr,NULL,NULL,NULL,NULL,NULL,NULL
0,0,openemr,NULL,NULL,NULL,NULL,NULL,NULL
0-10,0-10,openemr,NULL,NULL,NULL,NULL,NULL,NULL
0-24,0-24,openemr,NULL,NULL,NULL,NULL,NULL,NULL
1,1,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"1 = North America. See http://www.wtng.info/ for a list of other country codes.","1=Norteamerica. Ver http://www.wtng.info/ para lista de códigos de otros países.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"1 Day From Now","1 dia a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"1 First Visit to Clinic","1 Admisión",spanish,NULL,"1 Admisión","1 Admisión","1 Primera vez",NULL,NULL
"1 Month From Now","1 mes a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"1 Week From Now","1 semana a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"1 Year From Now","1 año a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"1.Rest 2. Ice for two days 3. Compression, leave the dressing in place unless the foot develops numbness or pale color 4. Elevate the foot and leg","1. Descanso 2. Hielo por dos días 3. Compresión, dejar el vendaje en su lugar a menos que el pie presente hormigueo o color pálido 4. Elevar la pierna y el pie",openemr,NULL,NULL,NULL,NULL,NULL,NULL
11-14,11-14,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"12 hr","12 hr",openemr,NULL,NULL,NULL,NULL,NULL,NULL
15-19,15-19,openemr,NULL,NULL,NULL,NULL,NULL,NULL
2,2,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"2 Days From Now","2 dias a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"2 Months From Now","2 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"2 Re-Visit / Re-Supply","2 Seguimiento",spanish,NULL,"2 Seguimiento","2 Seguimiento","2 Ulterior",NULL,NULL
"2 Weeks From Now","2 semanas a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"2 Years From Now","2 años a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"2-20 years",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20-24,20-24,openemr,NULL,NULL,NULL,NULL,NULL,NULL
2111-13,2111-13,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"24 hr","24 hr",openemr,NULL,NULL,NULL,NULL,NULL,NULL
25+,25+,openemr,NULL,NULL,NULL,NULL,NULL,NULL
25-29,25-29,openemr,NULL,NULL,NULL,NULL,NULL,NULL
2nd,2da,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"3 Administrative only","3 Administrativa",test,NULL,"3 Administrativa",NULL,NULL,NULL,NULL
"3 Days From Now","3 dias a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"3 months","3 meses",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"3 Months From Now","3 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"3 times daily","3 veces al día",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"3 Weeks From Now","3 semanas a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
30-34,30-34,openemr,NULL,NULL,NULL,NULL,NULL,NULL
35-39,35-39,openemr,NULL,NULL,NULL,NULL,NULL,NULL
3rd,3era,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"4 Days From Now","4 dias a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"4 months","4 meses",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"4 Months From Now","4 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"4 Supply/Re-Supply","4 Sólo productos",test,NULL,"4 Sólo productos",NULL,NULL,NULL,NULL
"4 times daily","4 veces al día",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"4 Weeks From Now","4 semanas a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
40-44,40-44,openemr,NULL,NULL,NULL,NULL,NULL,NULL
45+,45+,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"465.9, URI","465,9, URI",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"466.0, Bronchitis, Acute NOS","466.0, Bronquitis, Aguda",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"486.0, Pneumonia, Acute","486.0, Neumonía, Aguda",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"491.21, COPD Exacerbation","491.21 Agravación de Enfermedad Pulmonar Obstructiva Crónica",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"491.8, Bronchitis, Chronic","491.8, Bronquitis, Crónica",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"493.92, Asthma, Acute Exac.","493.92, Asma, Aguda",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"496.0, COPD","496.0 Enfermedad Pulmonar Obstructiva Crónica",openemr,NULL,NULL,NULL,NULL,NULL,NULL
4th,4ta,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"5 Days From Now","5 dias a partir de hoy",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"5 Months From Now","5 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"5 Weeks From Now","5 semanas a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"519.7, Bronchospasm","519.7, Broncoespasmo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
5th,5ta,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"6 Days From Now","6 dias a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"6 months","6 meses",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"6 Months From Now","6 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"6 Weeks From Now","6 semanas a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
6th,6ta,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"7 Months From Now","7 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"8 Months From Now","8 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"824.0 Fracture, medial malleolus, closed","824.0 Fractura, maléolo intermedio, cerrado ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"824.2 Fracture, lateral malleolus, closed","824.2 Fractura, maléolo lateral, cerrado ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"824.6 Fracture, Trimalleolar, closed","824,6 Fractura, Trimalleolar, cerrado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"825.32 Fracture, of Navicular (ankle)","825.32 Fractura de navicular (tobillo)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"825.35 Fracture, Base of fifth (5th) Metatarsal","825,35 Fractura, Base de la quinta (5 ª) metatarsianas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"845.00 ankle sprain NOS","845,00 torcedura del tobillo NOS",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"845.01 Sprain Medial (Deltoid) Lig.","845,01 Esquince ligamento tibial (Deltoides). ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"845.02 Sprain, Calcaneal fibular","845,02 Torcedura, fibular Calcánea",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"9 Months From Now","9 meses a partir de ahora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"99212 Established - Uncomplicated","Establecido 99212 - sin complicaciones ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"99213 Established - Low Complexity","Establecido 99213 - Baja Complejidad ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"< In exam room	","< En consulta",test,NULL,"< En consulta",NULL,NULL,NULL,NULL
"< In exam room","< en consultorio",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"> Checked out","> Ya pagó",test,"> De Alta / Salida","> Ya pagó",NULL,NULL,NULL,NULL
?,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"? No show","? No se presentó",test,"? ausente","? No se presentó",NULL,NULL,NULL,NULL
"@ Arrived","@ Llegó",test,"@ llegado","@ Llegó",NULL,NULL,NULL,NULL
A,"Un, Una",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A check number or claim number to identify the payment","Un número de cheque o reclamación para identificar el pago",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A client certificate for the admin user","Un certificado del cliente para el usuario de admin",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A clinical document is attached.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"A distributor is required","Se requiere un distribuidor",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A GCAC visit form should be added to this visit.","Formulario de visita GCAC debe ser agregado a esta visita",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A lot number is required","Un número de lote es requerido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A lot number is required!","Un número de lote es requerido!",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A lowercase letter","Una letra minuscula",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A number","Un numero",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A patient with this ID already exists.","Un paciente con esta ID ya existe",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A patient with this name already exists.","Un paciente con este nombre ya existe",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A patient with this SS already exists.","Un paciente con este numero de Seguro Social ya existe",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A positive number will show that many past appointments on a Widget in the Patient Summary screen.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"A referral source may be specified for each visit.","Una fuente de referencia puede ser especificada para cada visita",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A related IPPF code is required!","Un código IPPF relacionado es requerido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A special character","Un caracter especial",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A unique value to identify this field, not visible to the user","Un valor único para identificar este campo, no visible al usuario",openemr,NULL,NULL,NULL,NULL,NULL,NULL
a.c.,a.c.,test,"antes de las comidas",a.c.,NULL,NULL,NULL,NULL
a.m.,a.m.,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"A/F Level Right:","Nivel de A/F Correcto",test,"Nivel aire/fluido correcto","Nivel de A/F Correcto",NULL,NULL,NULL,NULL
AB,AB,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Abbreviation,Abreviatura,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Abcess:,Abceso,test,Absceso,Abceso,NULL,NULL,NULL,NULL
Abdominal,Abdominal,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Able to Bear Weight four (4) steps:","Capaz de cargar peso cuatro pasos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Abn,Anrml,test,Anormal,Anrml,NULL,NULL,NULL,NULL
ABN1,ANRML1,test,ABN1,ANRML1,NULL,NULL,NULL,NULL
Abnormal,Anormal,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Abnormal - Ectopic Pregnancy","Anormal - Embarazo ectópico",test,NULL,"Anormal - Embarazo ectópico",NULL,NULL,NULL,NULL
"Abnormal - Molar Pregnancy","Anormal - Embarazo molar",test,NULL,"Anormal - Embarazo molar",NULL,NULL,NULL,NULL
"Abnormal Blood Test","Análisis de sangre anormal",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Abnormal Blood Test:","Ex de sangre anormal",test,NULL,"Ex de sangre anormal",NULL,NULL,NULL,NULL
"Abnormal Hair Growth","Crecimiento anormal del pelo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Abnormal Hair Growth:","Crecimiento anormal del cabello",test,NULL,"Crecimiento anormal del cabello",NULL,NULL,NULL,NULL
"Abnormal Mammogram","Mamog anormal",test,"Mamografía anormal","Mamog anormal",NULL,NULL,NULL,NULL
"Abnormal Menstrual Periods","Períodos menst anormal",test,NULL,"Períodos menst anormal",NULL,NULL,NULL,NULL
"ABO and Rh blood groups","Abo y grupos sanguíneos Rh",test,NULL,"Abo y grupos sanguíneos Rh",NULL,NULL,NULL,NULL
Abortion,Aborto,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Abortion Basic History","Historia clínica de Abortos",test,NULL,"Historia clínica de Abortos",NULL,NULL,NULL,NULL
"Abortion Issues","Problemas del Aborto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Abortion Method","Método de Aborto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Abortion Tests","Pruebas de aborto",test,NULL,"Pruebas de aborto",NULL,NULL,NULL,NULL
"Abortion-Related Categories","Categorías relacionadas al Aborto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Abortion:,Aborto:,test,NULL,Aborto:,NULL,NULL,NULL,NULL
Abortions,Abortos,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"About the calendar","Acerca del calendario",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Absence of Menstruation","Ausencia de menstruación",panama,NULL,"Ausencia de menstruación",NULL,NULL,"Ausencia de menstruación","Ausencia del período menstrual"
"Absences by Diagnosis","Ausencias por Diagnóstico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Abuse,Abuso,test,NULL,Abuso,NULL,NULL,NULL,NULL
"Accept Assignment","Aceptar la tarea",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Accept Payment for","Aceptar pago de",panama,"Aceptar pago por",NULL,NULL,NULL,"Aceptar pago de",NULL
"Accept Payment for ","Aceptar Pago por ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Acceptors New to Modern Contraception","Aceptantes nuevos de anticoncepción moderna",test,NULL,"Aceptantes nuevos de anticoncepción moderna",NULL,NULL,NULL,NULL
"Accepts Assignment","Acepta Facturar",test,"Acepta tarea","Acepta Facturar",NULL,NULL,NULL,NULL
"Access Control","Control de acceso",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Access Control List Administration","Administración de la Lista de Control de Acceso",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Access Control:","Privilegios/Accesos al sistema",test,NULL,"Privilegios/Accesos al sistema",NULL,NULL,NULL,NULL
"Access Groups","Perfil de usuario",panama,NULL,NULL,NULL,NULL,"Perfil de usuario",NULL
"Access not allowed","Acceso no permitido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Access Not Authorized",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Access Your Patient Portal","Acceder al Portal del Paciente",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Account Name","Nombre de la Cuenta",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Accounting,Contabilidad,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Accounting Transactions","Transacciones Contables",panama,NULL,NULL,NULL,NULL,"Transacciones Contables",NULL
"Accounting Transactions Export","Exportación transacciones contables",panama,NULL,NULL,NULL,NULL,"Exportación transacciones contables",NULL
"Acct Export","Exportar transacciones contables",panama,NULL,NULL,NULL,NULL,"Exportar transacciones contables",NULL
Aches,Dolores,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Acknowledgment Requested (ISA14)","Solicitud de reconocimiento (ISA14)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Acknowledgments, Licensing and Certification","Reconocimientos, Licencias y Certificaciones",openemr,NULL,NULL,NULL,NULL,NULL,NULL
ACL,"Seguridad del sistema",test,ACL,"Seguridad del sistema",NULL,NULL,NULL,NULL
"ACL Administration","Administración del ACL",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ACL Administration Not Authorized","Administración de ACL no autorizada",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Acne,Acné,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Acne:,Acné,test,NULL,Acné,NULL,NULL,NULL,NULL
Act,Acta,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Act Date",Fetcha,panama,"Fecha de Acta",Fetcha,NULL,NULL,Fetcha,Fecha
Action,Accion,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Actions,Acciones,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Activate CCR/CCD Reporting","Activar Reportes CCR/CCD",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Active,Activa,test,Activo,Activa,NULL,NULL,NULL,NULL
"Active Alert","Alerta Activa",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Active Alert Rules","Reglas de Alerta Activa",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Active Alerts/Reminders","Alertas activas/recordatorios",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Active Encounter","Visita activa",test,"Encuentro Activo","Visita activa",NULL,NULL,NULL,NULL
"Active lists","Listas Activas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Active Patient","Cliente activo",test,"Paciente Activo","Cliente activo",NULL,NULL,NULL,NULL
"Active Patient:","Client activo:",test,NULL,"Client activo:",NULL,NULL,NULL,NULL
"Active Plans","Planes Activos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Active Viral Hepatitis","Hepatitis viral activa",test,NULL,"Hepatitis viral activa",NULL,NULL,NULL,NULL
Activity,"Saldos de Inventario",test,Actividad,"Saldos de Inventario",NULL,NULL,NULL,NULL
"Activity Type","Tipo de Actividad",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Acute bronchitis or pneumonia","Bronquitis o neumonía aguda",test,NULL,"Bronquitis o neumonía aguda",NULL,NULL,NULL,NULL
"Acute Intoxication/Withdrawal",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Acute on Chronic","Agudo en Crónico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
ADD,AÑADIR,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Add,Agregar,test,Añadir,Agregar,NULL,NULL,NULL,NULL
add,añadir,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add a Company","Añadir una compañía",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add a Pharmacy","Agregar Farmacia",test,"Añadir una farmacia","Agregar Farmacia",NULL,NULL,NULL,NULL
"add an event for ","Añadir un evento para",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add as a new note","Añadir como nueva nota",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add as New","Agreagar como nuevo",test,"Añadir como nuevo","Agreagar como nuevo",NULL,NULL,NULL,NULL
"Add Buttons","Agregar Botones",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Buttons for Special Chars,Texts to be Displayed on Top of the Editor for inclusion to the text on a Click","Agregar botones para caracteres especiales, texto a mostrar encima del editor para incluir en el texto con un Click.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Category","Añadir categoria",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Constant","Agregar constante",test,"Añadir constante","Agregar constante",NULL,NULL,NULL,NULL
"Add Context","Añadir contexto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Copay","Agregar pago",panama,"Añadir Co-pago","Agregar pago",NULL,NULL,"Agregar pago","Agregar co-pago"
"Add criteria","Añadir Criterios",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Custom Button","Añadir Boton Deseado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Diagnosis","Añadir diagnóstico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Drug","Agregar productos",test,"Añadir medicamento","Agregar productos",NULL,NULL,NULL,NULL
"Add Encounter","Agregar visita",test,"Añadir encuentro","Agregar visita",NULL,NULL,NULL,NULL
"Add encounter/notes","Añadir encuentro/notas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Add Facility","Añadir Centro",openemr,NULL,NULL,NULL,NULL,NULL,NULL
