constant_name,definition
All,Todos
"All Day","Todo el día"
"All day event","Dia completo"
"All Reviewed and Negative:",Rev/Negat
Allergies,Alergias
Allergies,Alergias
alter_table,modificar_tabla
Amount,Monto
"Amount Paid","Monto pagado"
analgesics,analgésicos
and,y
"And :",y
And:,y
Anemia,Anemia
Anorexia,Anorexia
antibiotics,Antibióticos
Any,Cualquiera
Appearance,Apariencia
Appearance:,Apariencia
"Appointment Date","Fecha de Cita"
"Appointment within:","Rango de fecha de cita"
"Appointments and Encounters","Citas y Visitas"
"Appointments and Visits","Citas y Visitas"
"Appointments Report","Reporte de Citas"
Appt-Enc,"Citas y Visitas"
Arrythmia:,Arritmia
Arthritis:,Artritis
"Artificial Insemination","Insem artif"
Assessment:,Evaluación
"Associated Induced Procedure","Procedimiento asociado"
Asthma,Asma
Asthma:,Asma
Authorizations,Autorizaciones
authorize,Autorizado
Authorized?,Autorizado?
"Average No. of Days","Promedio de días"
"Avg Monthly","Promedio mensual"
Backup,Respaldos
Bal,Saldo
"Balance Due","Saldo pendiente"
"Balance Due:","Saldo pendiente"
Barrier/IUD,Barrera/DIU
"Basal Temperature","Temp. Basal"
BASIC,Basico
"Basic Data","Datos básicos"
"Basic Information","Información básica"
"Batch Communication Tool","Herramienta de Comunicaciones"
"Batch Results","Resultados por lote"
Begin,Inicio
Billed,Facturado
Billing,Facturacion
"Billing Note","Nota de facturación"
Biopsy:,Biopsia
"Blank Forms","Formas en blanco"
"Bleeding During Pregnancy","Sangramiento durante emb"
"Bleeding Problems:","Problemas de sangramiento"
Bot,Inf
Bottom,Inf
"BP Diastolic","Presión Arterial /Diastólica"
"BP Systolic","Persión Arterial/Systólica"
Breast,senos
"Breast Disease","Enfermedad de senos"
"Breast Exam","Exámen de senos"
By,Por
Calendar,Agenda/Calendario
"Calendar UI:",Agenda/Calendario
Calendar:,Agenda/Calendario
Cancel,Cancelar
Cancer,Cáncer
cardiology,Cardiología
Cardiovascular,Cardiovascular
"Cash Rec","Ingresos efectivo"
"Cash Receipts","Ingresos efectivo"
"Cash Receipts by Provider","Ingresos efectivo por Proveedor(a)"
Cast:,Casta
Categories,Categorías
Category,Categoría
"Category Limits","Límites de Categoría"
Category:,Categoría
"Causes of Infertility","Causas de infertilidad"
"Cervical cytology ","Citol. Cervical"
Changed,Cambiado
Charges,Cargos
Chart,Expediente
"Chart Location Activity","Ubicación de Expediente"
"Chart Tracker","Buscador de Expedientes"
"Charts Checked Out","Expedientes chequeados"
"Check/Reference Number","Número de cheque/ref"
Checkout,Pagos
CHEST,Pecho
"Chest Pain","Dolor de pecho"
"Chief Complaint","Motivo de la visita"
"Chief Compliant","Motivo de la visita"
Choices,Opciones
City,Ciudad
"City, State Zip","Ciudad, Estado, Código Postal"
City:,Ciudad
"Civil Status","Estado civil"
Clear,Limpliar
"Clear Smarty Cache","Limpiar caché"
Click:,Presionar
Client,Cliente
"Client ID","No.de registro"
"Client ID:","No.de registro"
"Client Notes","Notas exped Cliente"
"Client Notes (Back)","Notas en expediente client (regresar)"
"Client Notes (Just Mine)","Notas en expediente client (Solo las mías)"
"Client Notes (See All)","Notas en expediente client (Ver todas)"
"Client Report","Reporte de clientes"
"Client Status","Estado del Cliente"
Clients,Clientes
"Clinic Daily Record","Registro diario"
"Clinic ID","No. de registro de clinica"
"Clinic ID:","No. de registro de clinica"
CO-PAY,Co-Pago
Code,Código
Code:,Código
Coffee,café
Collections,"Ingresos y Ajustes"
Color:,Color
Columns:,Columnas:
Comments,Comentarios
Communications,Comunicaciones
Complications,Complicaciones
"Condom (Male or Female)","Condón(Fem o Masc)"
Configuration,Configuración
Contact,Contacto
"Contact Email","Dirección electrónica"
Content,Contenido
Contraception,Anticoncepción
"Contraceptive Complication (specify)","Complicaciones por uso de método"
"Contraceptive Method in use","Método anticonceptivo en uso"
"Contraceptives Start","Fecha inicio uso de método anticonceptivo"
COPAY,Co-Pago
Copays,Co-pagos
Counseling,Consejería
Counseling,Consejería
Counter-Referral,Contra-referencia
Country:,País
"Create and download a full backup","Crear y guardar respaldo"
"Create Backup","Respaldar datos"
"Create New Patient","Nuevo registro cliente"
Created,Creado
Current,Actual
"Currently Active",Activo
"Cycle Length (days)","Duración del período(en días)"
CYP,APP
"CYP Factor:","Factor de APP"
"CYP Report","Reporte de APPs"
"Data Cols","Col Datos"
"Data Type","Tipo Dato"
Database,"Adm Base de Datos"
Date,Fecha
"Date Administered","Fecha de administración"
"Date Destroyed","Fecha de destrucción"
"Date Last Pregnancy Ended","Fecha de parto"
"Date of Last Pap Smear","Fecha de última citología/Papanicolau"
"Date of Next Pap Smear ","Fecha de próxima citología /Papanicolau"
"Date of Service:","Fecha de servicio"
"Date Ordered","Fecha de orden"
Date/Appt,Fecha/Cita
Date/Notes,Fecha/Notas
Date:,Fecha
day,Dia
"Day View",Días
days,Días
"Days per Column:","Días por columna"
deactivate,Desactivado
Default,Predeterminado
"Default Facility:","Ubicación predeterm"
"Default Method","Método predeterm"
"Default Value","Valor predeterm"
"Default Warehouse:","Bodega predeterm"
Delete,Borrar
"Delete Group","Borrar Grupo"
"Delete List","Borrar Lista"
Demographics,Demográficos
Depression,Depresión
Depression:,Depresión
Description,Descripción
Description:,Descripción
Destination,Destino
Destroyed,Ajustes(Daño/Exp)
"Destroyed Drugs","Prod destruídos"
Details,Detalle
Diag,Diagnosticos
Diagnosis,Diagnosticos
Diagnosis:,Diagnosticos
Diagnostic,Diagnosticos
"Diagnostic Imaging ","Imagen Diagnóstica"
"Diagnostic Labs & Orders","Laboratorio y Diagnósticos"
"Diagnostic Tests:","Exam de Diagn"
Diaphragm,Diafragma
Diarrhea:,Diarrea
Discharge,Descargo
Discharge:,Descargo
"Discount Amount:","Monto descuento"
Disease:,Enfermedad
Divorced,Divorciado(a)
DOB,Fec.Nac
DOB:,Fec.Nac
Document,Documento
Documents,Documentos
Dosage,Dósis
"Double Vision","Doble visión"
Drug,Producto
"Drug Name","Nombre Producto"
Drug:,Producto
duration,Duracion
"Duration of Absence (days)","Días ausencia"
Duration:,Duración
Dysmenorrhea,Dismenorrea
Ectopic,Ectópico
"Ectopic Pregnancy","Embarazo Ectópico"
"Edit Categories","Editar Categ"
"Edit Facilities:","Editar Ubicaciones"
"Edit Global Settings","Editar Parámetros Globales"
"Edit layout:","Editar Diseño"
"Edit list:","Editar Lista"
"Education Date","Fecha Educ"
Emergency,Emergencia
"Emergency Contraception","Anticoncep Emergencia"
Enc,Visita
Encounter,Visita
"Encounter Forms to Include in this Report:","Formas para visitas a incluir en este reporte"
Encounters,Visitas
"Encounters & Forms:","Visitas y Formas"
"Encounters Report","Reporte de visitas"
End,Fin
"End date","Fecha final"
Endocrine,Endocrino
"Endocrine Glands","Glándula endocrina"
endocrinology,Endocrinología
"Entitlement status",Activos
"EOB Posting - Instructions","Instrucciones de cierre de facturacion"
Error,Error
Errors,Errores
Event,Evento
"Event does not repeat","Evento sin repetic"
"Event repeats every","Evento se repite cada"
"Event repeats on:","Evento se repite en"
every,Cada
exam,Examen
Exams/Tests:,Examen
"Excessive Bleeding/Hemorrhage","Sangram excesivo/hemorragia"
Expires,"Fecha Expiración"
Export,Exportar
"Export Configuration","Exportar configuración"
"Export File","Exportar archivo"
"Export Selected as CSV","Exportar a formato CSV"
"Export Selected to Collections","Exportar seleccion"
"Export to CSV","Exportar a formato CSV"
Facilities,"Crear Ubicaciones"
Facility,Ubicación
"Facility Administration","Admon Ubicaciones"
"Facility Code:","Código Ubicación"
Facility:,Ubicación
"Family History:","Historia familiar"
"Family Size","Tamaño de la Familia"
Father,Padre
Fatigue:,Cansancio
Features,Diseño
"Federal Drug ID:","Cód federal de Prod"
"Federal EIN:","Cód federal EIN"
"Federal Tax ID:","Cód de impuesto fed"
"Fee Sheet","Hoja de Cargos por Serv & Prod"
Fees:,Facturación
Female,Femenino
"Female AP","Femenino AP"
"Female Endometriosis","Endometriósis Fem"
"Female G","Femenino G"
"Female LC","Femenino LC"
Fertility,Fertilidad
"Fertility Basic History","Historia de Fertilidad"
"Fertility Tests","Exam. Fertilidad"
"Fetal Monitoring","Monitoreo fetal"
Fever:,Fiebre
Fibroids,Fibroides
Filename,"Nombre archivo"
"Filter for Constants:","Filtro p/constantes"
Filters:,Filtros
Financial,Financieros
"Financial Info","Información Financiera"
"Financial Review Date","Fecha revisión"
"Financial Review Date:","Fecha revisión"
"Find Patient","Localizar Paciente"
"First Name","Primer nombre"
"First Name:","Primer nombre"
Flatulence:,Flatulencia
"Flow Bleeding (L/M/H)","Flujo (L/M/I)"
"Flow Length (days)","Flujo (días)"
Flow:,Flujo
"Foam & Condom","Espuma& Condones"
Followup,Seguimiento
"Food Intolerance","Intolerancia a alimentos"
for,Para
"For the past","Para los anteriores"
Forms,Formas
"Forms Administration","Administracion de formas"
Frequency:,Frecuencia
From,De
From:,De
"Front Office Receipts","Pagos recibidos por cajera"
"Front Rec","Pagos recibidos"
"GCAC Statistics Report","Estadísticas GCAC"
"Gender :",Género
General,General
"General Tax","Impuesto general"
"Generate Report","Producir reporte"
"Generate XML","Producir archivo exportación"
Globals,Parámetros
Go,"Ir a"
Group,Grupo
"Gynecological Exam","Examen Gin"
"Gynecological Tests","Examen Gin"
Gynecology,Ginecología
"Head Circumference","Circunferencia craneal"
Headache:,"Dolor de cabeza"
"health checkup","Chequeo de salud"
"Heart Disease","Enferm del corazón"
"Heart Problem:","Problemas del corazón"
"Heart Problems","Problemas del corazón"
HEART:,Corazón
Height,Estatura
Hemoglobin,Hemoglobina
"High Blood Pressure","Presión alta"
"High Blood Pressure:","Presion alta"
History,"Historia Médica Familiar"
"HIV testing","Test VIH"
HIV/AIDS,VIH/SIDA
"HIV/AIDS during Pregnancy","VIH/SIDA en embarazon"
"HIV/AIDS Tests","Test VIH/SIDA"
HIV:,VIH
Home,Inicio
"Home Phone","Tel. casa"
"Home Phone:","Tel. casa"
"Hormonal analysis","Análisis hormonal"
"Hormonal Patch","Parche hormonal"
Hours,Horas
ID,Identificacion
"ID (?)",Identificación
Immunizations,Inmunizaciones
Immunize,Inmunizaciones
Implant,Implante
"Import Configuration","Importar configuración"
in,dentro
in-house,"en casa"
Inactive,Inactivo
"Inactive Days","Días inactivo"
"Inbound Referral","Referencias hacia la clínica"
"Include inactive users","Incluir usuarios inactivos"
Incontinence,Incontinencia
increased:,Incremento
Infection,Infección
Infertility,Infertilidad
"Infertility Treatment","Tratam. Infertilidad"
Info,Información
Injectable,Inyectable
Inventory,Inventario
"Inventory Activity","Movimientos de inventario"
"Inventory List",Existencias
Invoice,Factura
"IPPF HIV",IPPF-VIH
"IPPF SRH",IPPF-SSR
"IPPF Statistics Report","Reporte Estadistico IPPF"
Issues,"Patologías Médicas"
"Issues (Injuries/Medical/Allergy):","Patologías Médicas"
Issues:,"Patologías Médicas"
"Job Description:","Descripción de la tarea"
"Just Mine","Mis notas"
"Label (?)",Etiqueta
"Label Cols","Etiqueta de col"
"Language Code:","Codigo de idioma"
"Language Name:","Nombe de idioma"
Language:,Idioma
Laparoscopy,Laparoscopía
Last,Apellido
"Last Name",Apellido
"Last Name:",Apellido
"Last Normal Period (date)","Fecha último período normal"
"Last Visit","Ultima visita"
"Layout Based","Formas configurables"
Left:,Izquierda
Length,Largo
Letter,Notas
List,Lista
"List Prescriptions","Lista de recetas"
Lists,"Listas de datos"
Locale,Locales
Location,Ubicación
Location:,Ubicación
"Logged in:","Usuario activo"
Login,Entrar
Logout,Salir
Logs,Bitacora
"Logs Viewer","Visor de actividad"
Lot,Lote
"Lot Number","Núm de lote"
Lot:,Lote
Male,Masculino
Mammogram,Mamograma
Mammography,Mamografía
Management,"Admon Registros"
"Manual Breast Exam ","Ex manual de senos"
"Manual exams ","Ex manual"
"Manual Pelvic Exam ","Ex manual pélvico"
Manufacturer,Fabricante
Married,Casado(a)
"Medical Problems","Processo Lento"
"Medical Record","Datos Clínicos"
Medications,Medicación
Medications:,Medicación
"Member Association Statistics Report","Reporte estadístico de la Asociación"
Membership,Membresía
"Memory Problems:","Problemas de memoria"
Menarche:,Menarquia
Menopause:,Menopausia
"Menstrual Complications","Complicaciones menstruales"
"Menstrual History","Historia menstrual"
"Mental Illness","Enfermedad mental"
Method,Método
"Middle Name:","Segundo nombre"
minutes,Minutos
Misc,Misceláneos
Miscellaneous,Misceláneos
"Mobile Phone","Tel. Celular"
"Month View",Mes
Month:,Nes
"Monthly Income","Ingreso mensual"
Mother,Madre
"Mother´s name","Nombre de la madre"
"Move Down","Hacia abajo"
"Move Up","Hacia arriba"
"Multi Language Tool","Configuracion idiomas"
Name,Nombre
"Name (click for more)","Nombre (presione para ver más)"
Name/Value,Nombre/Valor
Name:,Nombre
"National ID","ID Nacional"
"National ID:","ID Nacional"
"New Appointment","Nueva Cita"
"New Category","Nueva categoría"
"New Encounter","Nueva Visita"
"New Encounter Form","Formulario Nueva Visita"
"New Facility Information:","Informac nueva ubicación"
"New List","Nueva Lista"
"New Method","Nuevo Método"
"New Patient","Nuevo Cliente"
"New Patient ID:","Nuevo ID de client"
"New User:","Nuevo Usuario"
"New Visit","Nueva Visita"
"New Visit Form ","Nueva Forma de Visita"
New/Search,"Nuevo Registro / Búsqueda"
Note,Nota
"Note Type","Tipo de nota"
Notes,Notas
Notifications,Notificaciones
"Number of Induced Abortions","No. de abortos inducidos"
"Number of Live Births","No. de partos"
"Number of Living Children","No. de hijos vivos"
"Number of Vaginal Deliveries","No.de partos vaginales"
Obstetric,Obstétrico
"Obstetric History","Historia obstétrica"
"Obstetric Tests","Test obstétrico"
Obstetrics,Obstétrico
Occupation,Ocupación
Occurrence,Ocurrencia
"Office Notes (Back) ","Notas (atrás)"
"Office Notes (More)","Notas (Más)"
Options,Opciones
Or:,O
Order,Orden
"Order Type","Tipo de Orden"
Ordered,Ordenado
Other,Otra
"Other (specify)",Otro
"Other Complications","Otras complicaciones"
"Other Information","Otra informacion"
"Other Notes","Otras notas"
Others,Otros
Pages,Páginas
Paid,Pagado
Pain:,Dolor
Password,Contraseña
"Password (Again):","Contraseña (confirmación)"
"Password Change","Cambio de contraseña"
Password:,Contraseña
"Past Encounters and Documents","Visitas y doc anteriores"
"Past Visits and Documents ","Visitas y doc anteriores"
Patient,Cliente
"Patient Appointment","Cita(s) del Paciente"
"Patient Encounter Form",Idioma
"Patient History / Lifestyle (Back)","Historia/estilo de vida (Regresar)"
"Patient History / Lifestyle (More)","Historia/estilo de vida (Más)"
"Patient ID:","ID del cliente"
"Patient Instructions","Instructiones al cliente"
"Patient List","Lista de clientes"
"Patient Notes","Notas al paciente"
"Patient Number","No. de Cliente"
"Patient Record Report","Report de clientes"
"Patient Report","Reporte de clientes"
"Patient Results","Resultados por cliente"
"Patient Transactions","Referencias y otros"
Patient/Client,Clientes
"Payment Method","Método de pago"
Payments,Pagos
Pediatric,Pediatría
"Pending F/U","Seguimientos pendientes"
"Pending Followup from Results","Seguimiento pendiente"
"Pending Orders","Ordenes pendientes"
"Pending Res","Resultados pendientes"
Pharmacies,Farmacias
Phone:,Teléfono
physical,Físico
"Physical Exam ","Examen Físico"
PID,Usuario
"PID (Pelvic Inflammatory Disease)","Inflamación de la pélvis"
"Pmt Method","Métodos de pago"
"Postal Code","Código Postal"
"Postal Code:","Código Postal"
"Posting Date","Fecha de aplicación"
Practice,"Otras especialidades"
Practitioner,"Prestador de Servicios"
"Pregnancy Complications:","Complicaciones durante el embarazo"
Prepay,Prepagos
"Prescp & Disp","Recetas y Despachos"
prescription,Recetas
Prescriptions,Recetas
"Prescriptions and Dispensations","Recetas y Despachos"
Previous,Previo
"Price Level","Lista de precios"
Print,Imprimir
"Print Record (HTML)","Imprimir registro(HTML)"
"Print Record (PDF)","Imprimir registro(PDF)"
Printer,Impresor
Priority,Prioridad
Priority:,Prioridad
Procedure,Procedimiento
"Procedure at this site","Proc realizado en esta clínica"
"Procedure Order ","Orden de Laboratorio"
"Procedure Statistics Report","Reporte Estadístico de Laboratorio"
Procedure:,Procedimiento
Procedures,"Lab y Diagnósticos"
Process,Procesos
Product,Producto
Promotion,Promoción
"Prostate Cancer","Cáncer de próstata"
"Prostate Cancer Screening","Ex del cáncer de próstata"
"Prostate Exam","Ex de próstata"
Provider,"Proveedor de Servicios"
"Province/County or Parish",Provincia/Municipio
"Pt Notes/Auth",Notas/Autorizaciones
Purchases,Compras
QOH,"Existencia a la fecha"
Qty,Cantidad
Qty.,Cantidad
Quantity,Cantidad
Race/Ethnicity,Raza
radiology,Radiología
Range,Rango
"Real Name","Nombre real"
"Real Name:","Nombre real"
Reason,Razón
"Receipts Summary","Resumen de recibos/facturas"
Received,Recibido
"Recent Menstrual History","Historia menstrual reciente"
"Records Found","Expedientes Localizado"
"Refer Date","Fecha de referencia"
"Refer To","Referir a"
Referral,"Hoja de Referencias"
"Referral Source","Fuente de Referencia"
Referrals,Referencias
"Referrals and Other Transactions","Referencias & otras transac"
"Referred By","Referido por"
Refresh,Refrescar
Registered,Registrado
"Registration Date","Fecha de Registro"
"Registration Date:","Fecha de Registro"
"Relate To:","Mapeo a"
Related,"Mapeado a"
Relatives,Familiares
Religion,Religion
"Rename Group","Renombrar grupo"
Rendering,Predeterminado
Repeats,Repite
"Reply Date","Fecha de respuesta"
Report,Reporte
Reported,Reportado
Reports,Reportes
"Reproductive General","SSR general"
"Reproductive Women","SSR mujeres"
Result,Resultado
"Results and Recommendations","Resultados y Recomendaciones"
"Results of Last Pap Smear ","resultados del último Papanicolau"
"Review Of Systems ","Chequeo Médico"
Rows:,Filas
Rx,Recetas
Sales,Ventas
"Sales by Item",como
"Sales Tax","Impuesto de venta"
Save,Guardar
"Save Changes","Guardar cambios"
"Save Immunization","Guardar inmunizaciones"
"Save Patient Demographic",Guardar
Screen,Pantalla
Search,Busqueda
"Search or Add Client","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
Security,Seguridad
"see all","Ver todas"
"See Authorizations:","Ver autorizaciones"
Select,Seleccionar
"Select All","Seleccionar todos"
"Select Patient","Seleccionar Registro"
"Select Patient by Last","Selec cliente /por apellido"
Sensitivity:,Sensibilidad
Service,Servicio
"Service Date:","Fecha de servicio"
"Service Provider","Proveedor de servicio"
"Service Provider:","Proveedor de servicio"
"Service Statistics Report","Reporte Estadísticas de Servicio"
Services,Servicios
"Services by Category","Servicios por categoria"
Settings,Parámetros
Sex,Sexo
Sex:,Sexo
Single,Soltero(a)
Size,Tamaño
"Sort by :","Ordenado por"
Special,Especial
Specialty,Especialidad
Specialty:,Especialidad
"Speech Dictation","Notas Médicas"
Spouse,Esposo
SSN,"Num Seg. Social"
Start,Inicio
"Start Time","Hora inicio"
"Starting Date","Fecha inicio"
State,Estado
State:,Estado
Statistics,Estadística
Status,Condición
Status:,Condición
"Stock Months","Meses de existencia"
Street,Calle
Summary,Resumen
Superbill,"Hoja de cargos"
Surgical,Quirúrgico
"Surgical - Other","Cirugia- otros"
"System ID","ID del sistema"
Taxes:,Impuestos
Temperature,Temperatura
test:,Examen
"This Encounter",PaÃ­s
Time,Hora
"Timestamp and Text",Fecha/Detalle
Title,Titulo
Title:,Título
To,A
"To History","A historia"
To:,A
Tobacco,Tabaco
Today,Hoy
Top,Sup
Transact,Referencias
Transactions,Transacciones
Transfers,Transferencias
Transgender,"Trans género"
Treatment:,Tratamiento
Type,Tipo
"Type of Visit","Tipo de visita"
Type:,Tipo
"Types of Orders and Results","Tipo de Ordenes y Resultados"
"Types of Orders, Results and Recommendations","Tipo de Ord/Res y Recomend"
"Ultrasonography ",Ultrasonografía
Unassigned,"No asignado"
Unit,Unidad
Units,Unidades
Unregistered,"No registrado"
until,Hasta
"Up to:",Hasta
"Upcoming Appointments","Citas próximas"
update,Actualizar
Urgency:,Emergencia
Urology,Urología
"Urology Tests","Test urológico"
User,Usuario
"User & Group Administration","Administracion de Usuarios y Grupos"
"User Administration","Admon Usuarios"
"User Manual","Manual del sistema"
"User Memberships",Membresía
User:,Usuario:
Username,"Nombre de Usuario"
Username:,"Nombre de Usuario"
Users,"Crear Usuarios"
Value,Valor
view,Vista
"View Comprehensive Patient Report","Ver Registro Detallado de Cliente"
View:,Vista
Visit,Visita
"Visit Category:","Categoría de Visita"
"Visit Forms","Formas para Visitas"
Visits,Visitas
"Visits From:","Visitas desde"
"Visits Report","Reporte de visitas"
"Vitals (Metric)","Signos Vitales"
"Voluntary Surgical Contraception",AQV
Warehouse,Bodega
Weakness:,Debilidad
"Week View",Semana
Weight,Peso
"Weight Change","Cambio de peso"
Witness,Testigo
"Work Phone","Tel Trabajo"
"Work Phone:	","Tel Trabajo"
X-Ray,"Rayos X"
"Year View",Año
"Years of Education","Años de Educ"
"Years of Education:","Años de Educ"
Yes,Si
"Zip Code","Codigo Postal"
"Zip Code:","Codigo Postal"
"[Add as New]",Agregar
"[Add Issue]","Agregar patología"
"[Add New Note]","Agregar Nueva Nota"
[Add],Agretar
[All],Todo
"[Change Activity]","Cambiar actividad"
"[Check All]","Revisar todo"
"[Clear All]","Limpiar todo"
[Delete],Borrar
[Edit],Editar
[Help],Ayuda
"[Leave The Form]","Salir de la forma"
"[Only Active]","Solo activos"
"[Only Inactive]","Solo inactivos"
[pick],Seleccionar
[Refresh],Actualizar
[Save],Guardar
[Update],Actualizar
